run_key,subject_id,outer_fold,condition,model_family,task,y_true,class_score_0,class_score_1,class_score_2,class_score_3,y_pred,seed_aggregation,source_status
sub-cp003_ses-20210206_level-01B_run-001,sub-cp003,4,FUSION_PE,HDC,classification,0,0.474810116,0.49267128800000004,0.542047036,0.45233308799999994,2,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp003_ses-20210206_level-01B_run-007,sub-cp003,4,FUSION_PE,HDC,classification,0,0.474810116,0.49267128800000004,0.542047036,0.45233308799999994,2,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp003_ses-20210206_level-01B_run-012,sub-cp003,4,FUSION_PE,HDC,classification,0,0.474810116,0.49267128800000004,0.542047036,0.45233308799999994,2,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp003_ses-20210206_level-02B_run-003,sub-cp003,4,FUSION_PE,HDC,classification,1,0.474810116,0.49267128800000004,0.542047036,0.45233308799999994,2,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp003_ses-20210206_level-02B_run-008,sub-cp003,4,FUSION_PE,HDC,classification,1,0.474810116,0.49267128800000004,0.542047036,0.45233308799999994,2,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp003_ses-20210206_level-02B_run-010,sub-cp003,4,FUSION_PE,HDC,classification,1,0.474810116,0.49267128800000004,0.542047036,0.45233308799999994,2,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp003_ses-20210206_level-03B_run-002,sub-cp003,4,FUSION_PE,HDC,classification,2,0.474810116,0.49267128800000004,0.542047036,0.45233308799999994,2,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp003_ses-20210206_level-03B_run-005,sub-cp003,4,FUSION_PE,HDC,classification,2,0.474810116,0.49267128800000004,0.542047036,0.45233308799999994,2,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp003_ses-20210206_level-03B_run-011,sub-cp003,4,FUSION_PE,HDC,classification,2,0.474810116,0.49267128800000004,0.542047036,0.45233308799999994,2,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp003_ses-20210206_level-04B_run-004,sub-cp003,4,FUSION_PE,HDC,classification,3,0.474810116,0.49267128800000004,0.542047036,0.45233308799999994,2,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp003_ses-20210206_level-04B_run-006,sub-cp003,4,FUSION_PE,HDC,classification,3,0.474810116,0.49267128800000004,0.542047036,0.45233308799999994,2,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp003_ses-20210206_level-04B_run-009,sub-cp003,4,FUSION_PE,HDC,classification,3,0.474810116,0.49267128800000004,0.542047036,0.45233308799999994,2,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp004_ses-20210330_level-01B_run-001,sub-cp004,1,FUSION_PE,HDC,classification,0,0.86168928,0.836136354,0.838840338,0.8308060319999999,0,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp004_ses-20210330_level-01B_run-007,sub-cp004,1,FUSION_PE,HDC,classification,0,0.883510916,0.864550994,0.863506962,0.8407082559999999,0,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp004_ses-20210330_level-01B_run-012,sub-cp004,1,FUSION_PE,HDC,classification,0,0.86264948,0.8225151799999999,0.835590128,0.8355956599999999,0,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp004_ses-20210330_level-02B_run-003,sub-cp004,1,FUSION_PE,HDC,classification,1,0.8318910340000001,0.8307532240000001,0.8366523539999999,0.830902068,2,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp004_ses-20210330_level-02B_run-008,sub-cp004,1,FUSION_PE,HDC,classification,1,0.88376242,0.864624764,0.8728134940000001,0.8431925939999999,0,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp004_ses-20210330_level-02B_run-010,sub-cp004,1,FUSION_PE,HDC,classification,1,0.851309996,0.8532234300000001,0.8593259379999999,0.8317917080000001,2,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
