condition,model_family,task,rows,unique_run_keys,source_status
FLIGHT_BEHAVIORAL_ONLY,HDC,classification,419,419,NEW_PHASE08_RUN
FLIGHT_BEHAVIORAL_ONLY,HDC,regression,419,419,NEW_PHASE08_RUN
FLIGHT_BEHAVIORAL_ONLY,TRADITIONAL,classification,419,419,NEW_PHASE08_RUN
FLIGHT_BEHAVIORAL_ONLY,TRADITIONAL,regression,419,419,NEW_PHASE08_RUN
FLIGHT_FULL,TRADITIONAL,classification,419,419,NEW_PHASE08_RUN
FLIGHT_FULL,TRADITIONAL,regression,419,419,NEW_PHASE08_RUN
FUSION_PE,HDC,classification,419,419,NEW_PHASE08_RUN
FUSION_PE,HDC,regression,419,419,NEW_PHASE08_RUN
FUSION_PE,TRADITIONAL,classification,419,419,NEW_PHASE08_RUN
FUSION_PE,TRADITIONAL,regression,419,419,NEW_PHASE08_RUN
FUSION_PEH,HDC,classification,419,419,NEW_PHASE08_RUN
FUSION_PEH,HDC,regression,419,419,NEW_PHASE08_RUN
FUSION_PEH,TRADITIONAL,classification,419,419,NEW_PHASE08_RUN
FUSION_PEH,TRADITIONAL,regression,419,419,NEW_PHASE08_RUN
FUSION_PEHF,HDC,classification,419,419,NEW_PHASE08_RUN
FUSION_PEHF,HDC,regression,419,419,NEW_PHASE08_RUN
FUSION_PEHF,TRADITIONAL,classification,419,419,NEW_PHASE08_RUN
FUSION_PEHF,TRADITIONAL,regression,419,419,NEW_PHASE08_RUN
PERFORMANCE_ONLY_AUXILIARY,HDC,classification,419,419,NEW_PHASE08_RUN
PERFORMANCE_ONLY_AUXILIARY,HDC,regression,419,419,NEW_PHASE08_RUN
PERFORMANCE_ONLY_AUXILIARY,TRADITIONAL,classification,419,419,NEW_PHASE08_RUN
PERFORMANCE_ONLY_AUXILIARY,TRADITIONAL,regression,419,419,NEW_PHASE08_RUN
WITH_PERFORMANCE_AUXILIARY,HDC,classification,419,419,NEW_PHASE08_RUN
WITH_PERFORMANCE_AUXILIARY,HDC,regression,419,419,NEW_PHASE08_RUN
WITH_PERFORMANCE_AUXILIARY,TRADITIONAL,classification,419,419,NEW_PHASE08_RUN
WITH_PERFORMANCE_AUXILIARY,TRADITIONAL,regression,419,419,NEW_PHASE08_RUN
