run_key,subject_id,outer_fold,condition,model_family,task,y_true,y_pred_raw,y_pred_bounded,seed_aggregation,source_status
sub-cp003_ses-20210206_level-01B_run-001,sub-cp003,4,FUSION_PE,HDC,regression,1.0,1.9999822999999999,1.9999822999999999,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp003_ses-20210206_level-01B_run-007,sub-cp003,4,FUSION_PE,HDC,regression,1.0,1.9999822999999999,1.9999822999999999,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp003_ses-20210206_level-01B_run-012,sub-cp003,4,FUSION_PE,HDC,regression,1.0,1.9999822999999999,1.9999822999999999,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp003_ses-20210206_level-02B_run-003,sub-cp003,4,FUSION_PE,HDC,regression,2.0,1.9999822999999999,1.9999822999999999,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp003_ses-20210206_level-02B_run-008,sub-cp003,4,FUSION_PE,HDC,regression,2.0,1.9999822999999999,1.9999822999999999,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp003_ses-20210206_level-02B_run-010,sub-cp003,4,FUSION_PE,HDC,regression,2.0,1.9999822999999999,1.9999822999999999,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp003_ses-20210206_level-03B_run-002,sub-cp003,4,FUSION_PE,HDC,regression,3.0,1.9999822999999999,1.9999822999999999,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp003_ses-20210206_level-03B_run-005,sub-cp003,4,FUSION_PE,HDC,regression,3.0,1.9999822999999999,1.9999822999999999,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp003_ses-20210206_level-03B_run-011,sub-cp003,4,FUSION_PE,HDC,regression,3.0,1.9999822999999999,1.9999822999999999,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp003_ses-20210206_level-04B_run-004,sub-cp003,4,FUSION_PE,HDC,regression,4.0,1.9999822999999999,1.9999822999999999,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp003_ses-20210206_level-04B_run-006,sub-cp003,4,FUSION_PE,HDC,regression,4.0,1.9999822999999999,1.9999822999999999,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp003_ses-20210206_level-04B_run-009,sub-cp003,4,FUSION_PE,HDC,regression,4.0,1.9999822999999999,1.9999822999999999,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp004_ses-20210330_level-01B_run-001,sub-cp004,1,FUSION_PE,HDC,regression,1.0,0.935758824,1.0,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp004_ses-20210330_level-01B_run-007,sub-cp004,1,FUSION_PE,HDC,regression,1.0,0.22585320599999997,1.0,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp004_ses-20210330_level-01B_run-012,sub-cp004,1,FUSION_PE,HDC,regression,1.0,0.12318458399999999,1.0,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp004_ses-20210330_level-02B_run-003,sub-cp004,1,FUSION_PE,HDC,regression,2.0,1.9000760800000003,1.9000760800000003,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp004_ses-20210330_level-02B_run-008,sub-cp004,1,FUSION_PE,HDC,regression,2.0,0.976254368,1.0,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp004_ses-20210330_level-02B_run-010,sub-cp004,1,FUSION_PE,HDC,regression,2.0,1.9618854,1.9618854,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp004_ses-20210330_level-03B_run-002,sub-cp004,1,FUSION_PE,HDC,regression,3.0,1.98936472,1.98936472,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp004_ses-20210330_level-03B_run-005,sub-cp004,1,FUSION_PE,HDC,regression,3.0,1.216736,1.216736,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp004_ses-20210330_level-03B_run-011,sub-cp004,1,FUSION_PE,HDC,regression,3.0,1.51880294,1.51880294,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp004_ses-20210330_level-04B_run-004,sub-cp004,1,FUSION_PE,HDC,regression,4.0,2.74349896,2.74349896,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp004_ses-20210330_level-04B_run-006,sub-cp004,1,FUSION_PE,HDC,regression,4.0,0.715863384,1.0,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp004_ses-20210330_level-04B_run-009,sub-cp004,1,FUSION_PE,HDC,regression,4.0,0.7910027,1.0,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp005_ses-20210226_level-01B_run-001,sub-cp005,5,FUSION_PE,HDC,regression,1.0,1.1556265700000001,1.1556265700000001,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp005_ses-20210226_level-01B_run-007,sub-cp005,5,FUSION_PE,HDC,regression,1.0,1.72860154,1.72860154,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp005_ses-20210226_level-01B_run-012,sub-cp005,5,FUSION_PE,HDC,regression,1.0,3.79457076,3.79457076,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp005_ses-20210226_level-02B_run-003,sub-cp005,5,FUSION_PE,HDC,regression,2.0,0.856667032,1.0,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
sub-cp005_ses-20210226_level-02B_run-008,sub-cp005,5,FUSION_PE,HDC,regression,2.0,3.2340856199999997,3.2340856199999997,MEAN_FIVE_SEEDS,NEW_PHASE08_RUN
