kind,comparison_family,model_family,task,metric,condition,estimate,ci_low,ci_high,n_subjects,repetitions,seed
paired_difference,A_EARLY_FUSION,HDC,classification,macro_f1,FUSION_PEH - FUSION_PE,0.05227688977688976,0.011433236406450687,0.09414892746142745,35,2000,42
paired_difference,A_EARLY_FUSION,TRADITIONAL,classification,macro_f1,FUSION_PEH - FUSION_PE,0.014555325626754196,-0.027152802554588282,0.05692335244120956,35,2000,42
paired_difference,A_EARLY_FUSION,HDC,classification,macro_f1,FUSION_PEHF - FUSION_PEH,0.507123471766329,0.4303582023135595,0.580674234495663,35,2000,42
paired_difference,A_EARLY_FUSION,TRADITIONAL,classification,macro_f1,FUSION_PEHF - FUSION_PEH,0.5443280132565848,0.494350740529312,0.5947338564213565,35,2000,42
paired_difference,A_EARLY_FUSION,HDC,classification,macro_f1,FUSION_PEHF - BEST_SINGLE_FLIGHT_REFERENCE,-0.0012255601541315815,-0.01905198670377241,0.018464193544550693,35,2000,42
paired_difference,A_EARLY_FUSION,HDC,classification,macro_f1,FUSION_PEHF - FULL_PRIMARY_REFERENCE,-0.0099515960230246,-0.03265538330716904,0.008296703296703296,35,2000,42
paired_difference,A_EARLY_FUSION,TRADITIONAL,classification,macro_f1,FUSION_PEHF - FULL_PRIMARY_REFERENCE,0.002380952380952379,0.0,0.0071428571428571366,35,2000,42
paired_difference,B_PERFORMANCE_SHORTCUT,HDC,classification,macro_f1,WITH_PERFORMANCE_AUXILIARY - WITHOUT_PERFORMANCE_PRIMARY_REFERENCE,-0.03288033395176252,-0.06675660946196658,-0.0019075061842919018,35,2000,42
paired_difference,B_PERFORMANCE_SHORTCUT,TRADITIONAL,classification,macro_f1,WITH_PERFORMANCE_AUXILIARY - WITHOUT_PERFORMANCE_PRIMARY_REFERENCE,0.005102040816326532,-0.007008503401360541,0.017482993197278914,35,2000,42
paired_difference,B_PERFORMANCE_SHORTCUT,HDC,classification,macro_f1,PERFORMANCE_ONLY_AUXILIARY - WITHOUT_PERFORMANCE_PRIMARY_REFERENCE,-0.3383451865594723,-0.3976951144094002,-0.2813144841269843,35,2000,42
paired_difference,B_PERFORMANCE_SHORTCUT,TRADITIONAL,classification,macro_f1,PERFORMANCE_ONLY_AUXILIARY - WITHOUT_PERFORMANCE_PRIMARY_REFERENCE,-0.23147186147186147,-0.29096219851577,-0.17256802721088432,35,2000,42
paired_difference,C_FLIGHT_PROVENANCE_SENSITIVITY,HDC,classification,macro_f1,FLIGHT_BEHAVIORAL_ONLY - FLIGHT_FULL,-0.011380167451596025,-0.029091902145473574,0.004624934589220296,35,2000,42
paired_difference,C_FLIGHT_PROVENANCE_SENSITIVITY,TRADITIONAL,classification,macro_f1,FLIGHT_BEHAVIORAL_ONLY - FLIGHT_FULL,-0.007874149659863943,-0.01775552721088435,0.0,35,2000,42
paired_difference,A_EARLY_FUSION,HDC,regression,bounded_mae,FUSION_PEH - FUSION_PE,-0.03094308302770565,-0.09692936610936152,0.03453716294560603,35,2000,42
paired_difference,A_EARLY_FUSION,TRADITIONAL,regression,bounded_mae,FUSION_PEH - FUSION_PE,-0.0019770760037963807,-0.04644113675368691,0.04366364695701699,35,2000,42
paired_difference,A_EARLY_FUSION,HDC,regression,bounded_mae,FUSION_PEHF - FUSION_PEH,-0.5982284476532468,-0.6889221258887122,-0.5121537644948918,35,2000,42
paired_difference,A_EARLY_FUSION,TRADITIONAL,regression,bounded_mae,FUSION_PEHF - FUSION_PEH,-0.7103279558729979,-0.7659196235261332,-0.6511437409963249,35,2000,42
paired_difference,A_EARLY_FUSION,HDC,regression,bounded_mae,FUSION_PEHF - BEST_SINGLE_FLIGHT_REFERENCE,0.0028788592558441563,-0.007319508711071431,0.012620234057683982,35,2000,42
paired_difference,A_EARLY_FUSION,HDC,regression,bounded_mae,FUSION_PEHF - FULL_PRIMARY_REFERENCE,-0.0019218787394093637,-0.0036706972174379627,-0.00016513408788966603,35,2000,42
paired_difference,A_EARLY_FUSION,TRADITIONAL,regression,bounded_mae,FUSION_PEHF - FULL_PRIMARY_REFERENCE,-0.000807646996876265,-0.002599981630255669,0.0007794563114435534,35,2000,42
paired_difference,B_PERFORMANCE_SHORTCUT,HDC,regression,bounded_mae,WITH_PERFORMANCE_AUXILIARY - WITHOUT_PERFORMANCE_PRIMARY_REFERENCE,-0.015571533583132293,-0.02999994323772678,-6.102823311121245e-05,35,2000,42
paired_difference,B_PERFORMANCE_SHORTCUT,TRADITIONAL,regression,bounded_mae,WITH_PERFORMANCE_AUXILIARY - WITHOUT_PERFORMANCE_PRIMARY_REFERENCE,-0.0026584454389002123,-0.0075792153134406764,0.0013626346648264581,35,2000,42
paired_difference,B_PERFORMANCE_SHORTCUT,HDC,regression,bounded_mae,PERFORMANCE_ONLY_AUXILIARY - WITHOUT_PERFORMANCE_PRIMARY_REFERENCE,0.2787946411203309,0.2258965711172502,0.3352045061952614,35,2000,42
paired_difference,B_PERFORMANCE_SHORTCUT,TRADITIONAL,regression,bounded_mae,PERFORMANCE_ONLY_AUXILIARY - WITHOUT_PERFORMANCE_PRIMARY_REFERENCE,0.41934447066470387,0.36403271242651203,0.4818185114787238,35,2000,42
paired_difference,C_FLIGHT_PROVENANCE_SENSITIVITY,HDC,regression,bounded_mae,FLIGHT_BEHAVIORAL_ONLY - FLIGHT_FULL,0.0,0.0,0.0,35,2000,42
