condition,model_family,source_status,n_rows,n_subjects,macro_f1,balanced_accuracy,accuracy,severe_error_rate,recall_class_0,recall_class_1,recall_class_2,recall_class_3,confusion_matrix
BEST_SINGLE_FLIGHT_REFERENCE,HDC,REUSED_FROZEN_REFERENCE,419,35,0.8634578130317547,0.8640926290690443,0.863961813842482,0.011933174224343675,0.8365384615384616,0.7830188679245284,0.8653846153846154,0.9714285714285714,"[[87,15,2,0],[11,83,11,1],[2,6,90,6],[0,0,3,102]]"
FLIGHT_BEHAVIORAL_ONLY,HDC,NEW_PHASE08_RUN,419,35,0.8543509417188794,0.8543865332780427,0.8544152744630071,0.014319809069212411,0.8173076923076923,0.8018867924528302,0.8269230769230769,0.9714285714285714,"[[85,16,3,0],[10,85,10,1],[2,10,86,6],[0,0,3,102]]"
FLIGHT_BEHAVIORAL_ONLY,TRADITIONAL,NEW_PHASE08_RUN,419,35,0.9450797501684948,0.9453020250190062,0.9451073985680191,0.00477326968973747,0.9807692307692307,0.8962264150943396,0.9423076923076923,0.9619047619047619,"[[102,0,1,1],[5,95,6,0],[0,2,98,4],[0,0,4,101]]"
FLIGHT_FULL,HDC,REUSED_FROZEN_REFERENCE,419,35,0.8634578130317547,0.8640926290690443,0.863961813842482,0.011933174224343675,0.8365384615384616,0.7830188679245284,0.8653846153846154,0.9714285714285714,"[[87,15,2,0],[11,83,11,1],[2,6,90,6],[0,0,3,102]]"
FLIGHT_FULL,TRADITIONAL,NEW_PHASE08_RUN,419,35,0.952313065384175,0.9524228523049278,0.9522673031026253,0.00477326968973747,0.9807692307692307,0.9150943396226415,0.9519230769230769,0.9619047619047619,"[[102,0,1,1],[4,97,5,0],[0,2,99,3],[0,0,4,101]]"
FULL_PRIMARY_REFERENCE,HDC,REUSED_FROZEN_REFERENCE,419,35,0.8710573880254382,0.8712363501278596,0.8711217183770883,0.01909307875894988,0.8173076923076923,0.8018867924528302,0.9038461538461539,0.9619047619047619,"[[85,16,3,0],[13,85,7,1],[4,4,94,2],[0,0,4,101]]"
FULL_PRIMARY_REFERENCE,TRADITIONAL,REUSED_FROZEN_REFERENCE,419,35,0.9356075023489925,0.9356862084456424,0.9355608591885441,0.014319809069212411,0.9423076923076923,0.8867924528301887,0.9326923076923077,0.9809523809523809,"[[98,1,4,1],[4,94,8,0],[1,2,97,4],[0,0,2,103]]"
FUSION_PE,HDC,NEW_PHASE08_RUN,419,35,0.35556387135208467,0.3587324625060474,0.35799522673031026,0.25059665871121717,0.46153846153846156,0.2169811320754717,0.4230769230769231,0.3333333333333333,"[[48,27,21,8],[32,23,39,12],[25,19,44,16],[20,19,31,35]]"
FUSION_PE,TRADITIONAL,NEW_PHASE08_RUN,419,35,0.4300855892665406,0.4351095445435068,0.4343675417661098,0.21479713603818615,0.6057692307692307,0.29245283018867924,0.4326923076923077,0.4095238095238095,"[[63,17,18,6],[30,31,30,15],[17,21,45,21],[18,16,28,43]]"
FUSION_PEH,HDC,NEW_PHASE08_RUN,419,35,0.41833008763388513,0.42311493537908634,0.4224343675417661,0.22195704057279236,0.5480769230769231,0.330188679245283,0.49038461538461536,0.3238095238095238,"[[57,23,17,7],[30,35,30,11],[23,19,51,11],[23,12,36,34]]"
FUSION_PEH,TRADITIONAL,NEW_PHASE08_RUN,419,35,0.4492492409120349,0.4514142304236644,0.4510739856801909,0.21957040572792363,0.5769230769230769,0.3867924528301887,0.40384615384615385,0.4380952380952381,"[[60,14,20,10],[31,41,22,12],[15,24,42,23],[22,13,24,46]]"
FUSION_PEHF,HDC,NEW_PHASE08_RUN,419,35,0.8612711349931246,0.8616663211002834,0.8615751789976134,0.01909307875894988,0.8365384615384616,0.7924528301886793,0.8557692307692307,0.9619047619047619,"[[87,14,3,0],[12,84,9,1],[4,6,89,5],[0,0,4,101]]"
FUSION_PEHF,TRADITIONAL,NEW_PHASE08_RUN,419,35,0.9379776646776896,0.9380446990116802,0.9379474940334129,0.014319809069212411,0.9423076923076923,0.8962264150943396,0.9326923076923077,0.9809523809523809,"[[98,1,4,1],[4,95,7,0],[1,2,97,4],[0,0,2,103]]"
PERFORMANCE_ONLY_AUXILIARY,HDC,NEW_PHASE08_RUN,419,35,0.5574927474907552,0.5585372174994817,0.5584725536992841,0.1026252983293556,0.5576923076923077,0.4528301886792453,0.4807692307692308,0.7428571428571429,"[[58,30,9,7],[24,48,21,13],[5,25,50,24],[0,9,18,78]]"
PERFORMANCE_ONLY_AUXILIARY,TRADITIONAL,NEW_PHASE08_RUN,419,35,0.7166671501207432,0.7186640403621535,0.7183770883054893,0.10739856801909307,0.8269230769230769,0.6226415094339622,0.6346153846153846,0.7904761904761904,"[[86,5,8,5],[11,66,20,9],[9,19,66,10],[7,7,8,83]]"
WITHOUT_PERFORMANCE_PRIMARY_REFERENCE,HDC,REUSED_FROZEN_REFERENCE,419,35,0.8710573880254382,0.8712363501278596,0.8711217183770883,0.01909307875894988,0.8173076923076923,0.8018867924528302,0.9038461538461539,0.9619047619047619,"[[85,16,3,0],[13,85,7,1],[4,4,94,2],[0,0,4,101]]"
WITHOUT_PERFORMANCE_PRIMARY_REFERENCE,TRADITIONAL,REUSED_FROZEN_REFERENCE,419,35,0.9356075023489925,0.9356862084456424,0.9355608591885441,0.014319809069212411,0.9423076923076923,0.8867924528301887,0.9326923076923077,0.9809523809523809,"[[98,1,4,1],[4,94,8,0],[1,2,97,4],[0,0,2,103]]"
WITH_PERFORMANCE_AUXILIARY,HDC,NEW_PHASE08_RUN,419,35,0.8419786048184106,0.8424355518695141,0.8424821002386634,0.02386634844868735,0.7884615384615384,0.7924528301886793,0.8269230769230769,0.9619047619047619,"[[82,18,3,1],[10,84,10,2],[3,8,86,7],[1,0,3,101]]"
WITH_PERFORMANCE_AUXILIARY,TRADITIONAL,NEW_PHASE08_RUN,419,35,0.9402428649824057,0.9404485451655262,0.9403341288782816,0.011933174224343675,0.9519230769230769,0.8962264150943396,0.9326923076923077,0.9809523809523809,"[[99,1,3,1],[5,95,6,0],[1,2,97,4],[0,0,2,103]]"
