condition,model_family,task,metric,n_seeds,seed_values_json,seed_mean,seed_std,seed_min,seed_max
FUSION_PE,HDC,classification,macro_f1,5,"[0.32745342566941976, 0.30091195215302663, 0.3621939760338675, 0.3618354460615434, 0.3278220090704101]",0.33604336179765343,0.02609923285548037,0.30091195215302663,0.3621939760338675
FUSION_PE,HDC,regression,bounded_mae,5,"[0.9090489594272078, 0.9282662821002386, 0.9193166424821002, 0.9127404918854416, 0.909995944868735]",0.9158736641527445,0.00800581080212903,0.9090489594272078,0.9282662821002386
FUSION_PEH,HDC,classification,macro_f1,5,"[0.3672795335017138, 0.3667272577047013, 0.39137318466491394, 0.34944336207134574, 0.36511845585685365]",0.36798835875990565,0.015009131691884106,0.34944336207134574,0.39137318466491394
FUSION_PEH,HDC,regression,bounded_mae,5,"[0.865715783293556, 0.8628366718377088, 0.8863160594272076, 0.8867672255369929, 0.9024354904534606]",0.8808142461097852,0.01646468096358473,0.8628366718377088,0.9024354904534606
FUSION_PEHF,HDC,classification,macro_f1,5,"[0.8206089355530641, 0.8059563250928835, 0.8412403312955306, 0.8402625373177798, 0.7785282722156588]",0.8173192802949834,0.026188215929292737,0.7785282722156588,0.8412403312955306
FUSION_PEHF,HDC,regression,bounded_mae,5,"[0.267421269928401, 0.2831579618138425, 0.28256819856801907, 0.2795186298329356, 0.271373830548926]",0.27680797813842484,0.007044329558750158,0.267421269928401,0.2831579618138425
WITH_PERFORMANCE_AUXILIARY,HDC,classification,macro_f1,5,"[0.7944052907018664, 0.8445661502496994, 0.8190565658248654, 0.8392738323676546, 0.7951237577401005]",0.8184851193768372,0.023655383514049593,0.7944052907018664,0.8445661502496994
WITH_PERFORMANCE_AUXILIARY,HDC,regression,bounded_mae,5,"[0.26617263031026256, 0.2651581673031026, 0.26338287159904533, 0.26424443937947495, 0.2666488014319809]",0.2651213820047733,0.0013445197156854891,0.26338287159904533,0.2666488014319809
PERFORMANCE_ONLY_AUXILIARY,HDC,classification,macro_f1,5,"[0.4835756863320839, 0.537997511029921, 0.5312935764653409, 0.5638613823499194, 0.5301108671010466]",0.5293678046556625,0.029006281964761408,0.4835756863320839,0.5638613823499194
PERFORMANCE_ONLY_AUXILIARY,HDC,regression,bounded_mae,5,"[0.5439461081145585, 0.5711818307875894, 0.5914064286396181, 0.5560273563245823, 0.559746399522673]",0.5644616246778043,0.017926518634924143,0.5439461081145585,0.5914064286396181
FLIGHT_BEHAVIORAL_ONLY,HDC,classification,macro_f1,5,"[0.8399875693419607, 0.832185018898334, 0.8302201127747113, 0.7976723379764725, 0.8154856659335861]",0.823110140985013,0.01675535091878884,0.7976723379764725,0.8399875693419607
FLIGHT_BEHAVIORAL_ONLY,HDC,regression,bounded_mae,5,"[0.2645658186157518, 0.27226066420047734, 0.28361862124105014, 0.2805571933174224, 0.26846857016706444]",0.2738941735083532,0.00803250343853404,0.2645658186157518,0.28361862124105014
