loso_split,test_subject,run_key,subject_id,original_outer_fold,target_class,target_score,train_subject_count,test_subject_count,subject_overlap
1,sub-cp003,sub-cp003_ses-20210206_level-01B_run-001,sub-cp003,4,0,1.0,34,1,0
1,sub-cp003,sub-cp003_ses-20210206_level-01B_run-007,sub-cp003,4,0,1.0,34,1,0
1,sub-cp003,sub-cp003_ses-20210206_level-01B_run-012,sub-cp003,4,0,1.0,34,1,0
1,sub-cp003,sub-cp003_ses-20210206_level-02B_run-003,sub-cp003,4,1,2.0,34,1,0
1,sub-cp003,sub-cp003_ses-20210206_level-02B_run-008,sub-cp003,4,1,2.0,34,1,0
1,sub-cp003,sub-cp003_ses-20210206_level-02B_run-010,sub-cp003,4,1,2.0,34,1,0
1,sub-cp003,sub-cp003_ses-20210206_level-03B_run-002,sub-cp003,4,2,3.0,34,1,0
1,sub-cp003,sub-cp003_ses-20210206_level-03B_run-005,sub-cp003,4,2,3.0,34,1,0
1,sub-cp003,sub-cp003_ses-20210206_level-03B_run-011,sub-cp003,4,2,3.0,34,1,0
1,sub-cp003,sub-cp003_ses-20210206_level-04B_run-004,sub-cp003,4,3,4.0,34,1,0
1,sub-cp003,sub-cp003_ses-20210206_level-04B_run-006,sub-cp003,4,3,4.0,34,1,0
1,sub-cp003,sub-cp003_ses-20210206_level-04B_run-009,sub-cp003,4,3,4.0,34,1,0
2,sub-cp004,sub-cp004_ses-20210330_level-01B_run-001,sub-cp004,1,0,1.0,34,1,0
2,sub-cp004,sub-cp004_ses-20210330_level-01B_run-007,sub-cp004,1,0,1.0,34,1,0
2,sub-cp004,sub-cp004_ses-20210330_level-01B_run-012,sub-cp004,1,0,1.0,34,1,0
2,sub-cp004,sub-cp004_ses-20210330_level-02B_run-003,sub-cp004,1,1,2.0,34,1,0
2,sub-cp004,sub-cp004_ses-20210330_level-02B_run-008,sub-cp004,1,1,2.0,34,1,0
2,sub-cp004,sub-cp004_ses-20210330_level-02B_run-010,sub-cp004,1,1,2.0,34,1,0
2,sub-cp004,sub-cp004_ses-20210330_level-03B_run-002,sub-cp004,1,2,3.0,34,1,0
2,sub-cp004,sub-cp004_ses-20210330_level-03B_run-005,sub-cp004,1,2,3.0,34,1,0
2,sub-cp004,sub-cp004_ses-20210330_level-03B_run-011,sub-cp004,1,2,3.0,34,1,0
2,sub-cp004,sub-cp004_ses-20210330_level-04B_run-004,sub-cp004,1,3,4.0,34,1,0
2,sub-cp004,sub-cp004_ses-20210330_level-04B_run-006,sub-cp004,1,3,4.0,34,1,0
2,sub-cp004,sub-cp004_ses-20210330_level-04B_run-009,sub-cp004,1,3,4.0,34,1,0
3,sub-cp005,sub-cp005_ses-20210226_level-01B_run-001,sub-cp005,5,0,1.0,34,1,0
3,sub-cp005,sub-cp005_ses-20210226_level-01B_run-007,sub-cp005,5,0,1.0,34,1,0
3,sub-cp005,sub-cp005_ses-20210226_level-01B_run-012,sub-cp005,5,0,1.0,34,1,0
3,sub-cp005,sub-cp005_ses-20210226_level-02B_run-003,sub-cp005,5,1,2.0,34,1,0
3,sub-cp005,sub-cp005_ses-20210226_level-02B_run-008,sub-cp005,5,1,2.0,34,1,0
3,sub-cp005,sub-cp005_ses-20210226_level-02B_run-010,sub-cp005,5,1,2.0,34,1,0
3,sub-cp005,sub-cp005_ses-20210226_level-03B_run-002,sub-cp005,5,2,3.0,34,1,0
3,sub-cp005,sub-cp005_ses-20210226_level-03B_run-005,sub-cp005,5,2,3.0,34,1,0
3,sub-cp005,sub-cp005_ses-20210226_level-03B_run-011,sub-cp005,5,2,3.0,34,1,0
3,sub-cp005,sub-cp005_ses-20210226_level-04B_run-004,sub-cp005,5,3,4.0,34,1,0
3,sub-cp005,sub-cp005_ses-20210226_level-04B_run-006,sub-cp005,5,3,4.0,34,1,0
3,sub-cp005,sub-cp005_ses-20210226_level-04B_run-009,sub-cp005,5,3,4.0,34,1,0
4,sub-cp006,sub-cp006_ses-20210324_level-01B_run-001,sub-cp006,4,0,1.0,34,1,0
4,sub-cp006,sub-cp006_ses-20210324_level-01B_run-007,sub-cp006,4,0,1.0,34,1,0
4,sub-cp006,sub-cp006_ses-20210324_level-01B_run-012,sub-cp006,4,0,1.0,34,1,0
4,sub-cp006,sub-cp006_ses-20210324_level-02B_run-003,sub-cp006,4,1,2.0,34,1,0
4,sub-cp006,sub-cp006_ses-20210324_level-02B_run-008,sub-cp006,4,1,2.0,34,1,0
4,sub-cp006,sub-cp006_ses-20210324_level-02B_run-010,sub-cp006,4,1,2.0,34,1,0
4,sub-cp006,sub-cp006_ses-20210324_level-03B_run-002,sub-cp006,4,2,3.0,34,1,0
4,sub-cp006,sub-cp006_ses-20210324_level-03B_run-005,sub-cp006,4,2,3.0,34,1,0
4,sub-cp006,sub-cp006_ses-20210324_level-03B_run-011,sub-cp006,4,2,3.0,34,1,0
4,sub-cp006,sub-cp006_ses-20210324_level-04B_run-004,sub-cp006,4,3,4.0,34,1,0
4,sub-cp006,sub-cp006_ses-20210324_level-04B_run-006,sub-cp006,4,3,4.0,34,1,0
4,sub-cp006,sub-cp006_ses-20210324_level-04B_run-009,sub-cp006,4,3,4.0,34,1,0
5,sub-cp008,sub-cp008_ses-20210503_level-01B_run-001,sub-cp008,3,0,1.0,34,1,0
5,sub-cp008,sub-cp008_ses-20210503_level-01B_run-007,sub-cp008,3,0,1.0,34,1,0
5,sub-cp008,sub-cp008_ses-20210503_level-01B_run-012,sub-cp008,3,0,1.0,34,1,0
5,sub-cp008,sub-cp008_ses-20210503_level-02B_run-003,sub-cp008,3,1,2.0,34,1,0
5,sub-cp008,sub-cp008_ses-20210503_level-02B_run-008,sub-cp008,3,1,2.0,34,1,0
5,sub-cp008,sub-cp008_ses-20210503_level-02B_run-010,sub-cp008,3,1,2.0,34,1,0
5,sub-cp008,sub-cp008_ses-20210503_level-03B_run-002,sub-cp008,3,2,3.0,34,1,0
5,sub-cp008,sub-cp008_ses-20210503_level-03B_run-005,sub-cp008,3,2,3.0,34,1,0
5,sub-cp008,sub-cp008_ses-20210503_level-03B_run-011,sub-cp008,3,2,3.0,34,1,0
5,sub-cp008,sub-cp008_ses-20210503_level-04B_run-004,sub-cp008,3,3,4.0,34,1,0
5,sub-cp008,sub-cp008_ses-20210503_level-04B_run-006,sub-cp008,3,3,4.0,34,1,0
5,sub-cp008,sub-cp008_ses-20210503_level-04B_run-009,sub-cp008,3,3,4.0,34,1,0
6,sub-cp009,sub-cp009_ses-20210129_level-01B_run-001,sub-cp009,2,0,1.0,34,1,0
6,sub-cp009,sub-cp009_ses-20210129_level-01B_run-007,sub-cp009,2,0,1.0,34,1,0
6,sub-cp009,sub-cp009_ses-20210129_level-01B_run-012,sub-cp009,2,0,1.0,34,1,0
6,sub-cp009,sub-cp009_ses-20210129_level-02B_run-003,sub-cp009,2,1,2.0,34,1,0
6,sub-cp009,sub-cp009_ses-20210129_level-02B_run-008,sub-cp009,2,1,2.0,34,1,0
6,sub-cp009,sub-cp009_ses-20210129_level-02B_run-010,sub-cp009,2,1,2.0,34,1,0
6,sub-cp009,sub-cp009_ses-20210129_level-03B_run-002,sub-cp009,2,2,3.0,34,1,0
6,sub-cp009,sub-cp009_ses-20210129_level-03B_run-005,sub-cp009,2,2,3.0,34,1,0
6,sub-cp009,sub-cp009_ses-20210129_level-03B_run-011,sub-cp009,2,2,3.0,34,1,0
6,sub-cp009,sub-cp009_ses-20210129_level-04B_run-004,sub-cp009,2,3,4.0,34,1,0
6,sub-cp009,sub-cp009_ses-20210129_level-04B_run-006,sub-cp009,2,3,4.0,34,1,0
6,sub-cp009,sub-cp009_ses-20210129_level-04B_run-009,sub-cp009,2,3,4.0,34,1,0
7,sub-cp011,sub-cp011_ses-20210408_level-01B_run-001,sub-cp011,1,0,1.0,34,1,0
7,sub-cp011,sub-cp011_ses-20210408_level-01B_run-007,sub-cp011,1,0,1.0,34,1,0
7,sub-cp011,sub-cp011_ses-20210408_level-01B_run-012,sub-cp011,1,0,1.0,34,1,0
7,sub-cp011,sub-cp011_ses-20210408_level-02B_run-003,sub-cp011,1,1,2.0,34,1,0
7,sub-cp011,sub-cp011_ses-20210408_level-02B_run-008,sub-cp011,1,1,2.0,34,1,0
7,sub-cp011,sub-cp011_ses-20210408_level-02B_run-010,sub-cp011,1,1,2.0,34,1,0
7,sub-cp011,sub-cp011_ses-20210408_level-03B_run-002,sub-cp011,1,2,3.0,34,1,0
7,sub-cp011,sub-cp011_ses-20210408_level-03B_run-005,sub-cp011,1,2,3.0,34,1,0
7,sub-cp011,sub-cp011_ses-20210408_level-03B_run-011,sub-cp011,1,2,3.0,34,1,0
7,sub-cp011,sub-cp011_ses-20210408_level-04B_run-004,sub-cp011,1,3,4.0,34,1,0
7,sub-cp011,sub-cp011_ses-20210408_level-04B_run-006,sub-cp011,1,3,4.0,34,1,0
7,sub-cp011,sub-cp011_ses-20210408_level-04B_run-009,sub-cp011,1,3,4.0,34,1,0
8,sub-cp012,sub-cp012_ses-20210723_level-01B_run-001,sub-cp012,4,0,1.0,34,1,0
8,sub-cp012,sub-cp012_ses-20210723_level-01B_run-007,sub-cp012,4,0,1.0,34,1,0
8,sub-cp012,sub-cp012_ses-20210723_level-01B_run-012,sub-cp012,4,0,1.0,34,1,0
8,sub-cp012,sub-cp012_ses-20210723_level-02B_run-003,sub-cp012,4,1,2.0,34,1,0
8,sub-cp012,sub-cp012_ses-20210723_level-02B_run-008,sub-cp012,4,1,2.0,34,1,0
8,sub-cp012,sub-cp012_ses-20210723_level-02B_run-010,sub-cp012,4,1,2.0,34,1,0
8,sub-cp012,sub-cp012_ses-20210723_level-03B_run-002,sub-cp012,4,2,3.0,34,1,0
8,sub-cp012,sub-cp012_ses-20210723_level-03B_run-005,sub-cp012,4,2,3.0,34,1,0
8,sub-cp012,sub-cp012_ses-20210723_level-03B_run-011,sub-cp012,4,2,3.0,34,1,0
8,sub-cp012,sub-cp012_ses-20210723_level-04B_run-004,sub-cp012,4,3,4.0,34,1,0
