canonical_key,protocol,condition,model_key,task,run_key,subject_id,outer_fold,aggregation,seed_count,seeds,source_phase,reference_policy
RETRAIN_WITHOUT_MODALITY|MISSING_BODY_MOVEMENT|hdc_classification|sub-cp004_ses-20210330_level-01B_run-001,RETRAIN_WITHOUT_MODALITY,MISSING_BODY_MOVEMENT,hdc_classification,classification,sub-cp004_ses-20210330_level-01B_run-001,sub-cp004,1,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",09,RETRAIN_WITHOUT_MODALITY
RETRAIN_WITHOUT_MODALITY|MISSING_BODY_MOVEMENT|hdc_classification|sub-cp004_ses-20210330_level-01B_run-007,RETRAIN_WITHOUT_MODALITY,MISSING_BODY_MOVEMENT,hdc_classification,classification,sub-cp004_ses-20210330_level-01B_run-007,sub-cp004,1,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",09,RETRAIN_WITHOUT_MODALITY
RETRAIN_WITHOUT_MODALITY|MISSING_BODY_MOVEMENT|hdc_classification|sub-cp004_ses-20210330_level-01B_run-012,RETRAIN_WITHOUT_MODALITY,MISSING_BODY_MOVEMENT,hdc_classification,classification,sub-cp004_ses-20210330_level-01B_run-012,sub-cp004,1,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",09,RETRAIN_WITHOUT_MODALITY
RETRAIN_WITHOUT_MODALITY|MISSING_BODY_MOVEMENT|hdc_classification|sub-cp004_ses-20210330_level-02B_run-003,RETRAIN_WITHOUT_MODALITY,MISSING_BODY_MOVEMENT,hdc_classification,classification,sub-cp004_ses-20210330_level-02B_run-003,sub-cp004,1,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",09,RETRAIN_WITHOUT_MODALITY
RETRAIN_WITHOUT_MODALITY|MISSING_BODY_MOVEMENT|hdc_classification|sub-cp004_ses-20210330_level-02B_run-008,RETRAIN_WITHOUT_MODALITY,MISSING_BODY_MOVEMENT,hdc_classification,classification,sub-cp004_ses-20210330_level-02B_run-008,sub-cp004,1,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",09,RETRAIN_WITHOUT_MODALITY
RETRAIN_WITHOUT_MODALITY|MISSING_BODY_MOVEMENT|hdc_classification|sub-cp004_ses-20210330_level-02B_run-010,RETRAIN_WITHOUT_MODALITY,MISSING_BODY_MOVEMENT,hdc_classification,classification,sub-cp004_ses-20210330_level-02B_run-010,sub-cp004,1,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",09,RETRAIN_WITHOUT_MODALITY
RETRAIN_WITHOUT_MODALITY|MISSING_BODY_MOVEMENT|hdc_classification|sub-cp004_ses-20210330_level-03B_run-002,RETRAIN_WITHOUT_MODALITY,MISSING_BODY_MOVEMENT,hdc_classification,classification,sub-cp004_ses-20210330_level-03B_run-002,sub-cp004,1,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",09,RETRAIN_WITHOUT_MODALITY
RETRAIN_WITHOUT_MODALITY|MISSING_BODY_MOVEMENT|hdc_classification|sub-cp004_ses-20210330_level-03B_run-005,RETRAIN_WITHOUT_MODALITY,MISSING_BODY_MOVEMENT,hdc_classification,classification,sub-cp004_ses-20210330_level-03B_run-005,sub-cp004,1,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",09,RETRAIN_WITHOUT_MODALITY
RETRAIN_WITHOUT_MODALITY|MISSING_BODY_MOVEMENT|hdc_classification|sub-cp004_ses-20210330_level-03B_run-011,RETRAIN_WITHOUT_MODALITY,MISSING_BODY_MOVEMENT,hdc_classification,classification,sub-cp004_ses-20210330_level-03B_run-011,sub-cp004,1,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",09,RETRAIN_WITHOUT_MODALITY
RETRAIN_WITHOUT_MODALITY|MISSING_BODY_MOVEMENT|hdc_classification|sub-cp004_ses-20210330_level-04B_run-004,RETRAIN_WITHOUT_MODALITY,MISSING_BODY_MOVEMENT,hdc_classification,classification,sub-cp004_ses-20210330_level-04B_run-004,sub-cp004,1,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",09,RETRAIN_WITHOUT_MODALITY
