run_key,subject_id,source_raw_rows,aggregation,seed_count,seeds,y_true,class_score_0,class_score_1,class_score_2,class_score_3,y_pred,outer_fold,target_class,target_score,difficulty_level,protocol,condition,model_key,task,reference_policy,canonical_key,source_phase,source_path,source_sha256,y_pred_raw,y_pred_bounded,clipped
sub-cp004_ses-20210330_level-01B_run-001,sub-cp004,5,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",0.0,0.9017184138298034,0.8780478835105896,0.8308403134346009,0.7399750471115112,0.0,1,0,1.0,1,FULL_PRIMARY_REFERENCE,FULL_PRIMARY_REFERENCE,hdc_classification,classification,REUSED_FROZEN_REFERENCE,FULL_PRIMARY_REFERENCE|hdc_classification|sub-cp004_ses-20210330_level-01B_run-001,06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\oof\phase06_hybrid_final_oof.csv,ff619baf4be600279482c9e1f4f4139000fc05c1dfaf41555d644674b45d875a,,,
sub-cp004_ses-20210330_level-01B_run-007,sub-cp004,5,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",0.0,0.9058497309684753,0.8867736697196961,0.8478888630867004,0.8093667507171631,0.0,1,0,1.0,1,FULL_PRIMARY_REFERENCE,FULL_PRIMARY_REFERENCE,hdc_classification,classification,REUSED_FROZEN_REFERENCE,FULL_PRIMARY_REFERENCE|hdc_classification|sub-cp004_ses-20210330_level-01B_run-007,06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\oof\phase06_hybrid_final_oof.csv,ff619baf4be600279482c9e1f4f4139000fc05c1dfaf41555d644674b45d875a,,,
sub-cp004_ses-20210330_level-01B_run-012,sub-cp004,5,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",0.0,0.9066823244094848,0.8789510607719422,0.8311880111694336,0.7379834771156311,0.0,1,0,1.0,1,FULL_PRIMARY_REFERENCE,FULL_PRIMARY_REFERENCE,hdc_classification,classification,REUSED_FROZEN_REFERENCE,FULL_PRIMARY_REFERENCE|hdc_classification|sub-cp004_ses-20210330_level-01B_run-012,06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\oof\phase06_hybrid_final_oof.csv,ff619baf4be600279482c9e1f4f4139000fc05c1dfaf41555d644674b45d875a,,,
sub-cp004_ses-20210330_level-02B_run-003,sub-cp004,5,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",1.0,0.8634231805801391,0.8965160250663757,0.8864134430885315,0.8156245112419128,1.0,1,1,2.0,2,FULL_PRIMARY_REFERENCE,FULL_PRIMARY_REFERENCE,hdc_classification,classification,REUSED_FROZEN_REFERENCE,FULL_PRIMARY_REFERENCE|hdc_classification|sub-cp004_ses-20210330_level-02B_run-003,06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\oof\phase06_hybrid_final_oof.csv,ff619baf4be600279482c9e1f4f4139000fc05c1dfaf41555d644674b45d875a,,,
sub-cp004_ses-20210330_level-02B_run-008,sub-cp004,5,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",1.0,0.883348548412323,0.8995346069335938,0.8459730744361877,0.735563313961029,1.0,1,1,2.0,2,FULL_PRIMARY_REFERENCE,FULL_PRIMARY_REFERENCE,hdc_classification,classification,REUSED_FROZEN_REFERENCE,FULL_PRIMARY_REFERENCE|hdc_classification|sub-cp004_ses-20210330_level-02B_run-008,06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\oof\phase06_hybrid_final_oof.csv,ff619baf4be600279482c9e1f4f4139000fc05c1dfaf41555d644674b45d875a,,,
sub-cp004_ses-20210330_level-02B_run-010,sub-cp004,5,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",1.0,0.881662392616272,0.90904461145401,0.9012869000434875,0.785257887840271,1.0,1,1,2.0,2,FULL_PRIMARY_REFERENCE,FULL_PRIMARY_REFERENCE,hdc_classification,classification,REUSED_FROZEN_REFERENCE,FULL_PRIMARY_REFERENCE|hdc_classification|sub-cp004_ses-20210330_level-02B_run-010,06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\oof\phase06_hybrid_final_oof.csv,ff619baf4be600279482c9e1f4f4139000fc05c1dfaf41555d644674b45d875a,,,
sub-cp004_ses-20210330_level-03B_run-002,sub-cp004,5,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",2.0,0.85488520860672,0.8763414263725281,0.9232686638832093,0.7984973192214966,2.0,1,2,3.0,3,FULL_PRIMARY_REFERENCE,FULL_PRIMARY_REFERENCE,hdc_classification,classification,REUSED_FROZEN_REFERENCE,FULL_PRIMARY_REFERENCE|hdc_classification|sub-cp004_ses-20210330_level-03B_run-002,06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\oof\phase06_hybrid_final_oof.csv,ff619baf4be600279482c9e1f4f4139000fc05c1dfaf41555d644674b45d875a,,,
sub-cp004_ses-20210330_level-03B_run-005,sub-cp004,5,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",2.0,0.8309103488922119,0.855454957485199,0.8846736311912536,0.8180798888206482,2.0,1,2,3.0,3,FULL_PRIMARY_REFERENCE,FULL_PRIMARY_REFERENCE,hdc_classification,classification,REUSED_FROZEN_REFERENCE,FULL_PRIMARY_REFERENCE|hdc_classification|sub-cp004_ses-20210330_level-03B_run-005,06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\oof\phase06_hybrid_final_oof.csv,ff619baf4be600279482c9e1f4f4139000fc05c1dfaf41555d644674b45d875a,,,
sub-cp004_ses-20210330_level-03B_run-011,sub-cp004,5,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",2.0,0.8644097924232483,0.8945769190788269,0.9385147333145142,0.7952975392341614,2.0,1,2,3.0,3,FULL_PRIMARY_REFERENCE,FULL_PRIMARY_REFERENCE,hdc_classification,classification,REUSED_FROZEN_REFERENCE,FULL_PRIMARY_REFERENCE|hdc_classification|sub-cp004_ses-20210330_level-03B_run-011,06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\oof\phase06_hybrid_final_oof.csv,ff619baf4be600279482c9e1f4f4139000fc05c1dfaf41555d644674b45d875a,,,
sub-cp004_ses-20210330_level-04B_run-004,sub-cp004,5,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",3.0,0.8332882881164551,0.8220074295997619,0.8499458193778991,0.8970837950706482,3.0,1,3,4.0,4,FULL_PRIMARY_REFERENCE,FULL_PRIMARY_REFERENCE,hdc_classification,classification,REUSED_FROZEN_REFERENCE,FULL_PRIMARY_REFERENCE|hdc_classification|sub-cp004_ses-20210330_level-04B_run-004,06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\oof\phase06_hybrid_final_oof.csv,ff619baf4be600279482c9e1f4f4139000fc05c1dfaf41555d644674b45d875a,,,
