run_key,subject_id,source_raw_rows,aggregation,seed_count,seeds,y_true,class_score_0,class_score_1,class_score_2,class_score_3,y_pred,protocol,condition,model_key,task,source_phase,reference_policy,y_pred_raw,y_pred_bounded,clipped,outer_fold,target_class,target_score,difficulty_level,canonical_key
sub-cp004_ses-20210330_level-01B_run-001,sub-cp004,5,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",0.0,0.8895279979999999,0.871536932,0.811137198,0.727056094,0.0,LEAVE_ONE_SUBJECT_OUT,LOSO,hdc_classification,classification,09,LEAVE_ONE_SUBJECT_OUT,,,,1,0,1.0,1,LEAVE_ONE_SUBJECT_OUT|LOSO|hdc_classification|sub-cp004_ses-20210330_level-01B_run-001
sub-cp004_ses-20210330_level-01B_run-007,sub-cp004,5,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",0.0,0.90407528,0.866474606,0.8377136139999999,0.7918187640000001,0.0,LEAVE_ONE_SUBJECT_OUT,LOSO,hdc_classification,classification,09,LEAVE_ONE_SUBJECT_OUT,,,,1,0,1.0,1,LEAVE_ONE_SUBJECT_OUT|LOSO|hdc_classification|sub-cp004_ses-20210330_level-01B_run-007
sub-cp004_ses-20210330_level-01B_run-012,sub-cp004,5,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",0.0,0.872865172,0.851059096,0.79552659,0.7206917199999999,0.0,LEAVE_ONE_SUBJECT_OUT,LOSO,hdc_classification,classification,09,LEAVE_ONE_SUBJECT_OUT,,,,1,0,1.0,1,LEAVE_ONE_SUBJECT_OUT|LOSO|hdc_classification|sub-cp004_ses-20210330_level-01B_run-012
sub-cp004_ses-20210330_level-02B_run-003,sub-cp004,5,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",1.0,0.853697798,0.877802148,0.851388204,0.7885765299999999,1.0,LEAVE_ONE_SUBJECT_OUT,LOSO,hdc_classification,classification,09,LEAVE_ONE_SUBJECT_OUT,,,,1,1,2.0,2,LEAVE_ONE_SUBJECT_OUT|LOSO|hdc_classification|sub-cp004_ses-20210330_level-02B_run-003
sub-cp004_ses-20210330_level-02B_run-008,sub-cp004,5,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",1.0,0.8459914919999999,0.8809382600000001,0.83301658,0.7290798919999999,1.0,LEAVE_ONE_SUBJECT_OUT,LOSO,hdc_classification,classification,09,LEAVE_ONE_SUBJECT_OUT,,,,1,1,2.0,2,LEAVE_ONE_SUBJECT_OUT|LOSO|hdc_classification|sub-cp004_ses-20210330_level-02B_run-008
sub-cp004_ses-20210330_level-02B_run-010,sub-cp004,5,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",1.0,0.8447530100000001,0.8753859800000001,0.8424487660000001,0.7654465159999999,1.0,LEAVE_ONE_SUBJECT_OUT,LOSO,hdc_classification,classification,09,LEAVE_ONE_SUBJECT_OUT,,,,1,1,2.0,2,LEAVE_ONE_SUBJECT_OUT|LOSO|hdc_classification|sub-cp004_ses-20210330_level-02B_run-010
sub-cp004_ses-20210330_level-03B_run-002,sub-cp004,5,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",2.0,0.8286574400000001,0.8689521859999999,0.8980590559999999,0.7772269279999999,2.0,LEAVE_ONE_SUBJECT_OUT,LOSO,hdc_classification,classification,09,LEAVE_ONE_SUBJECT_OUT,,,,1,2,3.0,3,LEAVE_ONE_SUBJECT_OUT|LOSO|hdc_classification|sub-cp004_ses-20210330_level-03B_run-002
sub-cp004_ses-20210330_level-03B_run-005,sub-cp004,5,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",2.0,0.8375904500000001,0.8598097819999999,0.8643234320000002,0.7978733819999999,2.0,LEAVE_ONE_SUBJECT_OUT,LOSO,hdc_classification,classification,09,LEAVE_ONE_SUBJECT_OUT,,,,1,2,3.0,3,LEAVE_ONE_SUBJECT_OUT|LOSO|hdc_classification|sub-cp004_ses-20210330_level-03B_run-005
sub-cp004_ses-20210330_level-03B_run-011,sub-cp004,5,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",2.0,0.842869264,0.8816304660000001,0.907512766,0.770437472,2.0,LEAVE_ONE_SUBJECT_OUT,LOSO,hdc_classification,classification,09,LEAVE_ONE_SUBJECT_OUT,,,,1,2,3.0,3,LEAVE_ONE_SUBJECT_OUT|LOSO|hdc_classification|sub-cp004_ses-20210330_level-03B_run-011
sub-cp004_ses-20210330_level-04B_run-004,sub-cp004,5,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",3.0,0.82538266,0.8182229520000002,0.8328756680000001,0.8817435660000001,3.0,LEAVE_ONE_SUBJECT_OUT,LOSO,hdc_classification,classification,09,LEAVE_ONE_SUBJECT_OUT,,,,1,3,4.0,4,LEAVE_ONE_SUBJECT_OUT|LOSO|hdc_classification|sub-cp004_ses-20210330_level-04B_run-004
