run_key,subject_id,source_raw_rows,aggregation,seed_count,seeds,y_true,class_score_0,class_score_1,class_score_2,class_score_3,y_pred,protocol,condition,model_key,task,source_phase,reference_policy,y_pred_raw,y_pred_bounded,clipped,outer_fold,target_class,target_score,difficulty_level,canonical_key
sub-cp004_ses-20210330_level-01B_run-001,sub-cp004,5,FIVE_SEED_RAW_MEAN_THEN_CLIP,5,"42,43,44,45,46",1.0,,,,,,LEAVE_ONE_SUBJECT_OUT,LOSO,hdc_regression,regression,09,LEAVE_ONE_SUBJECT_OUT,0.697011438,1.0,True,1,0,1.0,1,LEAVE_ONE_SUBJECT_OUT|LOSO|hdc_regression|sub-cp004_ses-20210330_level-01B_run-001
sub-cp004_ses-20210330_level-01B_run-007,sub-cp004,5,FIVE_SEED_RAW_MEAN_THEN_CLIP,5,"42,43,44,45,46",1.0,,,,,,LEAVE_ONE_SUBJECT_OUT,LOSO,hdc_regression,regression,09,LEAVE_ONE_SUBJECT_OUT,0.8255904300000001,1.0,True,1,0,1.0,1,LEAVE_ONE_SUBJECT_OUT|LOSO|hdc_regression|sub-cp004_ses-20210330_level-01B_run-007
sub-cp004_ses-20210330_level-01B_run-012,sub-cp004,5,FIVE_SEED_RAW_MEAN_THEN_CLIP,5,"42,43,44,45,46",1.0,,,,,,LEAVE_ONE_SUBJECT_OUT,LOSO,hdc_regression,regression,09,LEAVE_ONE_SUBJECT_OUT,0.783170602,1.0,True,1,0,1.0,1,LEAVE_ONE_SUBJECT_OUT|LOSO|hdc_regression|sub-cp004_ses-20210330_level-01B_run-012
sub-cp004_ses-20210330_level-02B_run-003,sub-cp004,5,FIVE_SEED_RAW_MEAN_THEN_CLIP,5,"42,43,44,45,46",2.0,,,,,,LEAVE_ONE_SUBJECT_OUT,LOSO,hdc_regression,regression,09,LEAVE_ONE_SUBJECT_OUT,1.7781439200000002,1.7781439200000002,False,1,1,2.0,2,LEAVE_ONE_SUBJECT_OUT|LOSO|hdc_regression|sub-cp004_ses-20210330_level-02B_run-003
sub-cp004_ses-20210330_level-02B_run-008,sub-cp004,5,FIVE_SEED_RAW_MEAN_THEN_CLIP,5,"42,43,44,45,46",2.0,,,,,,LEAVE_ONE_SUBJECT_OUT,LOSO,hdc_regression,regression,09,LEAVE_ONE_SUBJECT_OUT,1.80077378,1.80077378,False,1,1,2.0,2,LEAVE_ONE_SUBJECT_OUT|LOSO|hdc_regression|sub-cp004_ses-20210330_level-02B_run-008
sub-cp004_ses-20210330_level-02B_run-010,sub-cp004,5,FIVE_SEED_RAW_MEAN_THEN_CLIP,5,"42,43,44,45,46",2.0,,,,,,LEAVE_ONE_SUBJECT_OUT,LOSO,hdc_regression,regression,09,LEAVE_ONE_SUBJECT_OUT,1.9738606000000005,1.9738606000000005,False,1,1,2.0,2,LEAVE_ONE_SUBJECT_OUT|LOSO|hdc_regression|sub-cp004_ses-20210330_level-02B_run-010
sub-cp004_ses-20210330_level-03B_run-002,sub-cp004,5,FIVE_SEED_RAW_MEAN_THEN_CLIP,5,"42,43,44,45,46",3.0,,,,,,LEAVE_ONE_SUBJECT_OUT,LOSO,hdc_regression,regression,09,LEAVE_ONE_SUBJECT_OUT,2.9582461799999997,2.9582461799999997,False,1,2,3.0,3,LEAVE_ONE_SUBJECT_OUT|LOSO|hdc_regression|sub-cp004_ses-20210330_level-03B_run-002
sub-cp004_ses-20210330_level-03B_run-005,sub-cp004,5,FIVE_SEED_RAW_MEAN_THEN_CLIP,5,"42,43,44,45,46",3.0,,,,,,LEAVE_ONE_SUBJECT_OUT,LOSO,hdc_regression,regression,09,LEAVE_ONE_SUBJECT_OUT,2.6928780399999996,2.6928780399999996,False,1,2,3.0,3,LEAVE_ONE_SUBJECT_OUT|LOSO|hdc_regression|sub-cp004_ses-20210330_level-03B_run-005
sub-cp004_ses-20210330_level-03B_run-011,sub-cp004,5,FIVE_SEED_RAW_MEAN_THEN_CLIP,5,"42,43,44,45,46",3.0,,,,,,LEAVE_ONE_SUBJECT_OUT,LOSO,hdc_regression,regression,09,LEAVE_ONE_SUBJECT_OUT,2.95826214,2.95826214,False,1,2,3.0,3,LEAVE_ONE_SUBJECT_OUT|LOSO|hdc_regression|sub-cp004_ses-20210330_level-03B_run-011
sub-cp004_ses-20210330_level-04B_run-004,sub-cp004,5,FIVE_SEED_RAW_MEAN_THEN_CLIP,5,"42,43,44,45,46",4.0,,,,,,LEAVE_ONE_SUBJECT_OUT,LOSO,hdc_regression,regression,09,LEAVE_ONE_SUBJECT_OUT,4.00551794,4.0,True,1,3,4.0,4,LEAVE_ONE_SUBJECT_OUT|LOSO|hdc_regression|sub-cp004_ses-20210330_level-04B_run-004
