run_key,subject_id,source_raw_rows,aggregation,seed_count,seeds,y_true,class_score_0,class_score_1,class_score_2,class_score_3,y_pred,protocol,condition,model_key,task,source_phase,reference_policy,y_pred_raw,y_pred_bounded,clipped,outer_fold,target_class,target_score,difficulty_level,canonical_key
sub-cp004_ses-20210330_level-01B_run-001,sub-cp004,5,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",0.0,0.89238846,0.8739442000000001,0.826003594,0.738173682,0.0,RETRAIN_WITHOUT_MODALITY,MISSING_BODY_MOVEMENT,hdc_classification,classification,09,RETRAIN_WITHOUT_MODALITY,,,,1,0,1.0,1,RETRAIN_WITHOUT_MODALITY|MISSING_BODY_MOVEMENT|hdc_classification|sub-cp004_ses-20210330_level-01B_run-001
sub-cp004_ses-20210330_level-01B_run-007,sub-cp004,5,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",0.0,0.897100748,0.8780325939999999,0.8473319220000001,0.811184072,0.0,RETRAIN_WITHOUT_MODALITY,MISSING_BODY_MOVEMENT,hdc_classification,classification,09,RETRAIN_WITHOUT_MODALITY,,,,1,0,1.0,1,RETRAIN_WITHOUT_MODALITY|MISSING_BODY_MOVEMENT|hdc_classification|sub-cp004_ses-20210330_level-01B_run-007
sub-cp004_ses-20210330_level-01B_run-012,sub-cp004,5,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",0.0,0.8992593720000001,0.8833438100000001,0.824817936,0.737390762,0.0,RETRAIN_WITHOUT_MODALITY,MISSING_BODY_MOVEMENT,hdc_classification,classification,09,RETRAIN_WITHOUT_MODALITY,,,,1,0,1.0,1,RETRAIN_WITHOUT_MODALITY|MISSING_BODY_MOVEMENT|hdc_classification|sub-cp004_ses-20210330_level-01B_run-012
sub-cp004_ses-20210330_level-02B_run-003,sub-cp004,5,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",1.0,0.859598422,0.890804908,0.888094742,0.8190852919999999,1.0,RETRAIN_WITHOUT_MODALITY,MISSING_BODY_MOVEMENT,hdc_classification,classification,09,RETRAIN_WITHOUT_MODALITY,,,,1,1,2.0,2,RETRAIN_WITHOUT_MODALITY|MISSING_BODY_MOVEMENT|hdc_classification|sub-cp004_ses-20210330_level-02B_run-003
sub-cp004_ses-20210330_level-02B_run-008,sub-cp004,5,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",1.0,0.872580724,0.90121236,0.8363254980000001,0.734327706,1.0,RETRAIN_WITHOUT_MODALITY,MISSING_BODY_MOVEMENT,hdc_classification,classification,09,RETRAIN_WITHOUT_MODALITY,,,,1,1,2.0,2,RETRAIN_WITHOUT_MODALITY|MISSING_BODY_MOVEMENT|hdc_classification|sub-cp004_ses-20210330_level-02B_run-008
sub-cp004_ses-20210330_level-02B_run-010,sub-cp004,5,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",1.0,0.872575726,0.9035986659999999,0.8969352159999999,0.784348326,1.0,RETRAIN_WITHOUT_MODALITY,MISSING_BODY_MOVEMENT,hdc_classification,classification,09,RETRAIN_WITHOUT_MODALITY,,,,1,1,2.0,2,RETRAIN_WITHOUT_MODALITY|MISSING_BODY_MOVEMENT|hdc_classification|sub-cp004_ses-20210330_level-02B_run-010
sub-cp004_ses-20210330_level-03B_run-002,sub-cp004,5,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",2.0,0.8428234419999999,0.866606408,0.9182165680000001,0.802012708,2.0,RETRAIN_WITHOUT_MODALITY,MISSING_BODY_MOVEMENT,hdc_classification,classification,09,RETRAIN_WITHOUT_MODALITY,,,,1,2,3.0,3,RETRAIN_WITHOUT_MODALITY|MISSING_BODY_MOVEMENT|hdc_classification|sub-cp004_ses-20210330_level-03B_run-002
sub-cp004_ses-20210330_level-03B_run-005,sub-cp004,5,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",2.0,0.8328916279999999,0.852370684,0.8848910959999999,0.814480738,2.0,RETRAIN_WITHOUT_MODALITY,MISSING_BODY_MOVEMENT,hdc_classification,classification,09,RETRAIN_WITHOUT_MODALITY,,,,1,2,3.0,3,RETRAIN_WITHOUT_MODALITY|MISSING_BODY_MOVEMENT|hdc_classification|sub-cp004_ses-20210330_level-03B_run-005
sub-cp004_ses-20210330_level-03B_run-011,sub-cp004,5,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",2.0,0.8542017779999999,0.8908983559999999,0.9332994299999999,0.7980017360000001,2.0,RETRAIN_WITHOUT_MODALITY,MISSING_BODY_MOVEMENT,hdc_classification,classification,09,RETRAIN_WITHOUT_MODALITY,,,,1,2,3.0,3,RETRAIN_WITHOUT_MODALITY|MISSING_BODY_MOVEMENT|hdc_classification|sub-cp004_ses-20210330_level-03B_run-011
sub-cp004_ses-20210330_level-04B_run-004,sub-cp004,5,FIVE_SEED_CLASS_SCORE_MEAN_ARGMAX,5,"42,43,44,45,46",3.0,0.8256222639999999,0.8187456359999998,0.8546518219999999,0.8971928380000002,3.0,RETRAIN_WITHOUT_MODALITY,MISSING_BODY_MOVEMENT,hdc_classification,classification,09,RETRAIN_WITHOUT_MODALITY,,,,1,3,4.0,4,RETRAIN_WITHOUT_MODALITY|MISSING_BODY_MOVEMENT|hdc_classification|sub-cp004_ses-20210330_level-04B_run-004
