run_key,subject_id,source_raw_rows,aggregation,seed_count,seeds,y_true,class_score_0,class_score_1,class_score_2,class_score_3,y_pred,protocol,condition,model_key,task,source_phase,reference_policy,y_pred_raw,y_pred_bounded,clipped,outer_fold,target_class,target_score,difficulty_level,canonical_key
sub-cp004_ses-20210330_level-01B_run-001,sub-cp004,5,FIVE_SEED_RAW_MEAN_THEN_CLIP,5,"42,43,44,45,46",1.0,,,,,,RETRAIN_WITHOUT_MODALITY,MISSING_BODY_MOVEMENT,hdc_regression,regression,09,RETRAIN_WITHOUT_MODALITY,1.02810884,1.02810884,False,1,0,1.0,1,RETRAIN_WITHOUT_MODALITY|MISSING_BODY_MOVEMENT|hdc_regression|sub-cp004_ses-20210330_level-01B_run-001
sub-cp004_ses-20210330_level-01B_run-007,sub-cp004,5,FIVE_SEED_RAW_MEAN_THEN_CLIP,5,"42,43,44,45,46",1.0,,,,,,RETRAIN_WITHOUT_MODALITY,MISSING_BODY_MOVEMENT,hdc_regression,regression,09,RETRAIN_WITHOUT_MODALITY,1.05491722,1.05491722,False,1,0,1.0,1,RETRAIN_WITHOUT_MODALITY|MISSING_BODY_MOVEMENT|hdc_regression|sub-cp004_ses-20210330_level-01B_run-007
sub-cp004_ses-20210330_level-01B_run-012,sub-cp004,5,FIVE_SEED_RAW_MEAN_THEN_CLIP,5,"42,43,44,45,46",1.0,,,,,,RETRAIN_WITHOUT_MODALITY,MISSING_BODY_MOVEMENT,hdc_regression,regression,09,RETRAIN_WITHOUT_MODALITY,1.0959149799999999,1.0959149799999999,False,1,0,1.0,1,RETRAIN_WITHOUT_MODALITY|MISSING_BODY_MOVEMENT|hdc_regression|sub-cp004_ses-20210330_level-01B_run-012
sub-cp004_ses-20210330_level-02B_run-003,sub-cp004,5,FIVE_SEED_RAW_MEAN_THEN_CLIP,5,"42,43,44,45,46",2.0,,,,,,RETRAIN_WITHOUT_MODALITY,MISSING_BODY_MOVEMENT,hdc_regression,regression,09,RETRAIN_WITHOUT_MODALITY,2.0428036599999997,2.0428036599999997,False,1,1,2.0,2,RETRAIN_WITHOUT_MODALITY|MISSING_BODY_MOVEMENT|hdc_regression|sub-cp004_ses-20210330_level-02B_run-003
sub-cp004_ses-20210330_level-02B_run-008,sub-cp004,5,FIVE_SEED_RAW_MEAN_THEN_CLIP,5,"42,43,44,45,46",2.0,,,,,,RETRAIN_WITHOUT_MODALITY,MISSING_BODY_MOVEMENT,hdc_regression,regression,09,RETRAIN_WITHOUT_MODALITY,1.8953969400000001,1.8953969400000001,False,1,1,2.0,2,RETRAIN_WITHOUT_MODALITY|MISSING_BODY_MOVEMENT|hdc_regression|sub-cp004_ses-20210330_level-02B_run-008
sub-cp004_ses-20210330_level-02B_run-010,sub-cp004,5,FIVE_SEED_RAW_MEAN_THEN_CLIP,5,"42,43,44,45,46",2.0,,,,,,RETRAIN_WITHOUT_MODALITY,MISSING_BODY_MOVEMENT,hdc_regression,regression,09,RETRAIN_WITHOUT_MODALITY,2.09888058,2.09888058,False,1,1,2.0,2,RETRAIN_WITHOUT_MODALITY|MISSING_BODY_MOVEMENT|hdc_regression|sub-cp004_ses-20210330_level-02B_run-010
sub-cp004_ses-20210330_level-03B_run-002,sub-cp004,5,FIVE_SEED_RAW_MEAN_THEN_CLIP,5,"42,43,44,45,46",3.0,,,,,,RETRAIN_WITHOUT_MODALITY,MISSING_BODY_MOVEMENT,hdc_regression,regression,09,RETRAIN_WITHOUT_MODALITY,2.9292599200000007,2.9292599200000007,False,1,2,3.0,3,RETRAIN_WITHOUT_MODALITY|MISSING_BODY_MOVEMENT|hdc_regression|sub-cp004_ses-20210330_level-03B_run-002
sub-cp004_ses-20210330_level-03B_run-005,sub-cp004,5,FIVE_SEED_RAW_MEAN_THEN_CLIP,5,"42,43,44,45,46",3.0,,,,,,RETRAIN_WITHOUT_MODALITY,MISSING_BODY_MOVEMENT,hdc_regression,regression,09,RETRAIN_WITHOUT_MODALITY,3.1048980399999997,3.1048980399999997,False,1,2,3.0,3,RETRAIN_WITHOUT_MODALITY|MISSING_BODY_MOVEMENT|hdc_regression|sub-cp004_ses-20210330_level-03B_run-005
sub-cp004_ses-20210330_level-03B_run-011,sub-cp004,5,FIVE_SEED_RAW_MEAN_THEN_CLIP,5,"42,43,44,45,46",3.0,,,,,,RETRAIN_WITHOUT_MODALITY,MISSING_BODY_MOVEMENT,hdc_regression,regression,09,RETRAIN_WITHOUT_MODALITY,2.9852570999999997,2.9852570999999997,False,1,2,3.0,3,RETRAIN_WITHOUT_MODALITY|MISSING_BODY_MOVEMENT|hdc_regression|sub-cp004_ses-20210330_level-03B_run-011
sub-cp004_ses-20210330_level-04B_run-004,sub-cp004,5,FIVE_SEED_RAW_MEAN_THEN_CLIP,5,"42,43,44,45,46",4.0,,,,,,RETRAIN_WITHOUT_MODALITY,MISSING_BODY_MOVEMENT,hdc_regression,regression,09,RETRAIN_WITHOUT_MODALITY,4.19317322,4.0,True,1,3,4.0,4,RETRAIN_WITHOUT_MODALITY|MISSING_BODY_MOVEMENT|hdc_regression|sub-cp004_ses-20210330_level-04B_run-004
