condition,model_key,model,task,subject_id,test_rows,target_coverage,primary_metric,primary_metric_direction,primary_metric_value,classification_macro_f1,balanced_accuracy,accuracy,severe_error_rate,bounded_mae,bounded_rmse
LOSO,hdc_classification,HDC,classification,sub-cp003,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,hdc_classification,HDC,classification,sub-cp004,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,hdc_classification,HDC,classification,sub-cp005,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.7476190476190476,0.7476190476190476,0.75,0.75,0.0,,
LOSO,hdc_classification,HDC,classification,sub-cp006,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,hdc_classification,HDC,classification,sub-cp008,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,hdc_classification,HDC,classification,sub-cp009,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.7416666666666667,0.7416666666666667,0.75,0.75,0.0,,
LOSO,hdc_classification,HDC,classification,sub-cp011,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.7428571428571429,0.7428571428571429,0.75,0.75,0.0,,
LOSO,hdc_classification,HDC,classification,sub-cp012,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.830952380952381,0.830952380952381,0.8333333333333333,0.8333333333333334,0.0,,
LOSO,hdc_classification,HDC,classification,sub-cp013,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.49702380952380953,0.49702380952380953,0.5833333333333333,0.5833333333333334,0.16666666666666666,,
LOSO,hdc_classification,HDC,classification,sub-cp014,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,hdc_classification,HDC,classification,sub-cp015,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.8375,0.8375,0.8333333333333333,0.8333333333333334,0.08333333333333333,,
LOSO,hdc_classification,HDC,classification,sub-cp016,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,hdc_classification,HDC,classification,sub-cp017,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,hdc_classification,HDC,classification,sub-cp018,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,hdc_classification,HDC,classification,sub-cp019,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,hdc_classification,HDC,classification,sub-cp020,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.8125,0.8125,0.8333333333333333,0.8333333333333334,0.0,,
LOSO,hdc_classification,HDC,classification,sub-cp022,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.7476190476190476,0.7476190476190476,0.75,0.75,0.0,,
LOSO,hdc_classification,HDC,classification,sub-cp023,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.8309523809523809,0.8309523809523809,0.8333333333333333,0.8333333333333334,0.08333333333333333,,
LOSO,hdc_classification,HDC,classification,sub-cp024,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.6309523809523809,0.6309523809523809,0.6666666666666666,0.6666666666666666,0.16666666666666666,,
LOSO,hdc_classification,HDC,classification,sub-cp025,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.9142857142857143,0.9142857142857143,0.9166666666666666,0.9166666666666666,0.0,,
LOSO,hdc_classification,HDC,classification,sub-cp026,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.9142857142857143,0.9142857142857143,0.9166666666666666,0.9166666666666666,0.0,,
LOSO,hdc_classification,HDC,classification,sub-cp027,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,hdc_classification,HDC,classification,sub-cp028,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333334,0.0,,
LOSO,hdc_classification,HDC,classification,sub-cp029,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,hdc_classification,HDC,classification,sub-cp030,11,"{""0.0"":3,""1.0"":3,""2.0"":2,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,hdc_classification,HDC,classification,sub-cp031,12,"{""0.0"":2,""1.0"":4,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.9142857142857143,0.9142857142857143,0.9375,0.9166666666666666,0.0,,
LOSO,hdc_classification,HDC,classification,sub-cp032,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,hdc_classification,HDC,classification,sub-cp033,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.6071428571428571,0.6071428571428571,0.6666666666666666,0.6666666666666666,0.0,,
LOSO,hdc_classification,HDC,classification,sub-cp035,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.9142857142857143,0.9142857142857143,0.9166666666666666,0.9166666666666666,0.0,,
LOSO,hdc_classification,HDC,classification,sub-cp036,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.5113636363636364,0.5113636363636364,0.5833333333333333,0.5833333333333334,0.16666666666666666,,
