condition,model_key,model,task,subjects,rows,macro_f1,balanced_accuracy,accuracy,severe_error_rate,recall_class_0,recall_class_1,recall_class_2,recall_class_3,quadratic_weighted_kappa,confusion_matrix
FULL_PRIMARY_REFERENCE,hdc_classification,HDC,classification,35,419,0.8710573880254382,0.8712363501278596,0.8711217183770883,0.01909307875894988,0.8173076923076923,0.8018867924528302,0.9038461538461539,0.9619047619047619,0.9249631497017536,"[[85,16,3,0],[13,85,7,1],[4,4,94,2],[0,0,4,101]]"
FULL_PRIMARY_REFERENCE,traditional_classification,Traditional,classification,35,419,0.9356075023489925,0.9356862084456424,0.9355608591885441,0.014319809069212411,0.9423076923076923,0.8867924528301887,0.9326923076923077,0.9809523809523809,0.9523566948508844,"[[98,1,4,1],[4,94,8,0],[1,2,97,4],[0,0,2,103]]"
MISSING_BODY_MOVEMENT,hdc_classification,HDC,classification,35,419,0.8559971815856672,0.8569035524224204,0.8568019093078759,0.021479713603818614,0.8076923076923077,0.7735849056603774,0.8653846153846154,0.9809523809523809,0.9171008375651256,"[[84,17,3,0],[13,82,9,2],[4,5,90,5],[0,0,2,103]]"
MISSING_BODY_MOVEMENT,traditional_classification,Traditional,classification,35,419,0.9379776646776896,0.9380446990116802,0.9379474940334129,0.014319809069212411,0.9423076923076923,0.8962264150943396,0.9326923076923077,0.9809523809523809,0.9533096671343811,"[[98,1,4,1],[4,95,7,0],[1,2,97,4],[0,0,2,103]]"
MISSING_EYE_TRACKING,hdc_classification,HDC,classification,35,419,0.8587719825266842,0.8592395811735435,0.8591885441527446,0.01909307875894988,0.8269230769230769,0.7924528301886793,0.8461538461538461,0.9714285714285714,0.9203040532024356,"[[86,13,5,0],[10,84,11,1],[2,8,88,6],[0,0,3,102]]"
MISSING_EYE_TRACKING,traditional_classification,Traditional,classification,35,419,0.9404028997891465,0.9404485451655262,0.9403341288782816,0.011933174224343675,0.9423076923076923,0.8962264150943396,0.9423076923076923,0.9809523809523809,0.9569570666429251,"[[98,1,4,1],[4,95,7,0],[0,3,98,3],[0,0,2,103]]"
MISSING_FLIGHT_PARAMETER,hdc_classification,HDC,classification,35,419,0.40267478563370734,0.41121060543230353,0.4105011933174224,0.2100238663484487,0.47115384615384615,0.33962264150943394,0.5769230769230769,0.2571428571428571,0.33582900495478885,"[[49,27,20,8],[23,36,33,14],[17,17,60,10],[17,12,49,27]]"
MISSING_FLIGHT_PARAMETER,traditional_classification,Traditional,classification,35,419,0.47215252531272556,0.47529329946782783,0.47494033412887826,0.21957040572792363,0.625,0.4056603773584906,0.40384615384615385,0.4666666666666667,0.3830379263505077,"[[65,12,16,11],[24,43,22,17],[18,22,42,22],[24,6,26,49]]"
MISSING_HEAD_MOVEMENT,hdc_classification,HDC,classification,35,419,0.8634420476644933,0.8640701672541296,0.863961813842482,0.016706443914081145,0.8269230769230769,0.7924528301886793,0.875,0.9619047619047619,0.925392419164848,"[[86,15,3,0],[12,84,9,1],[3,4,91,6],[0,0,4,101]]"
MISSING_HEAD_MOVEMENT,traditional_classification,Traditional,classification,35,419,0.9430207607557441,0.9428528232773516,0.9427207637231504,0.014319809069212411,0.9519230769230769,0.9056603773584906,0.9519230769230769,0.9619047619047619,0.9550444578877082,"[[99,0,4,1],[4,96,6,0],[1,1,99,3],[0,0,4,101]]"
MISSING_PHYSIOLOGICAL,hdc_classification,HDC,classification,35,419,0.8570014921856592,0.8568361669776765,0.8568019093078759,0.026252983293556086,0.8461538461538461,0.8018867924528302,0.8269230769230769,0.9523809523809523,0.9066233689448,"[[88,13,3,0],[12,85,8,1],[5,9,86,4],[1,1,3,100]]"
MISSING_PHYSIOLOGICAL,traditional_classification,Traditional,classification,35,419,0.9403896181463854,0.9404485451655262,0.9403341288782816,0.014319809069212411,0.9423076923076923,0.8962264150943396,0.9423076923076923,0.9809523809523809,0.9541753058853015,"[[98,1,4,1],[4,95,7,0],[1,2,98,3],[0,0,2,103]]"
