condition,model_key,model,task,subjects,task_name,rows,raw_mae,bounded_mae,bounded_rmse,bounded_r2,bounded_spearman,clipping_count,clipping_rate,rounded_regression_macro_f1,adjacent_accuracy,severe_error_rate
FULL_PRIMARY_REFERENCE,hdc_regression,HDC,regression,35,bounded difficulty-induced workload proxy regression,419,0.2840964260776437,0.2657274084669525,0.39432709575753067,0.87536680812352,0.9283794376857553,52,0.12410501193317422,0.8433283664563418,0.9904534606205251,0.00954653937947494
FULL_PRIMARY_REFERENCE,traditional_regression,Traditional,regression,35,bounded difficulty-induced workload proxy regression,419,0.11306438938653678,0.10748622346925181,0.2550837953674904,0.9478461687380318,0.9529838128466465,74,0.1766109785202864,0.9426279075782613,0.9952267303102625,0.00477326968973747
MISSING_BODY_MOVEMENT,hdc_regression,HDC,regression,35,bounded difficulty-induced workload proxy regression,419,0.2840944651264916,0.26572578583293555,0.3943247982672873,0.875368260434108,0.9283617408134561,52,0.12410501193317422,0.8433283664563418,0.9904534606205251,0.00954653937947494
MISSING_BODY_MOVEMENT,traditional_regression,Traditional,regression,35,bounded difficulty-induced workload proxy regression,419,0.11127017278712464,0.10569482500351464,0.2519899158976052,0.9491036310091586,0.9531387250126803,70,0.16706443914081145,0.9426279075782613,0.9952267303102625,0.00477326968973747
MISSING_EYE_TRACKING,hdc_regression,HDC,regression,35,bounded difficulty-induced workload proxy regression,419,0.27362115291646777,0.25890370272076374,0.3861724804692287,0.8804682932623621,0.9325137895143115,50,0.11933174224343675,0.8383749596297241,0.9904534606205251,0.00954653937947494
MISSING_EYE_TRACKING,traditional_regression,Traditional,regression,35,bounded difficulty-induced workload proxy regression,419,0.10251168497976182,0.09673683556706936,0.2408855767307982,0.9534904571180157,0.9545081740474789,77,0.18377088305489261,0.9498549003369684,0.9976133651551312,0.002386634844868735
MISSING_FLIGHT_PARAMETER,hdc_regression,HDC,regression,35,bounded difficulty-induced workload proxy regression,419,0.870031805131265,0.855968007451074,1.0850633268366665,0.056307186221805416,0.40245624963656595,30,0.07159904534606205,0.35498487885905083,0.8305489260143198,0.16945107398568018
MISSING_FLIGHT_PARAMETER,traditional_regression,Traditional,regression,35,bounded difficulty-induced workload proxy regression,419,0.8270076837778194,0.8257605313497127,1.0201445155606415,0.16585053548758022,0.44273184408461425,5,0.011933174224343675,0.3660055170220348,0.8400954653937948,0.15990453460620524
MISSING_HEAD_MOVEMENT,hdc_regression,HDC,regression,35,bounded difficulty-induced workload proxy regression,419,0.2807825236801909,0.26315774588544155,0.3934160773907063,0.8759420258458013,0.9285789940351975,51,0.12171837708830549,0.8410964533555612,0.9904534606205251,0.00954653937947494
MISSING_HEAD_MOVEMENT,traditional_regression,Traditional,regression,35,bounded difficulty-induced workload proxy regression,419,0.10810625846794712,0.10298698830258751,0.24636091409396257,0.9513521007683423,0.9533063987530692,65,0.15513126491646778,0.9450234398342876,0.9952267303102625,0.00477326968973747
MISSING_PHYSIOLOGICAL,hdc_regression,HDC,regression,35,bounded difficulty-induced workload proxy regression,419,0.2840944651264916,0.26572578583293555,0.3943247982672873,0.875368260434108,0.9283617408134561,52,0.12410501193317422,0.8433283664563418,0.9904534606205251,0.00954653937947494
MISSING_PHYSIOLOGICAL,traditional_regression,Traditional,regression,35,bounded difficulty-induced workload proxy regression,419,0.11149196909022258,0.10584356131634481,0.2536562763513555,0.9484282697124582,0.9528650206062977,70,0.16706443914081145,0.9426279075782613,0.9952267303102625,0.00477326968973747
