protocol,condition,model_key,task,primary_metric,seed_count,seed_mean,seed_sd_sample,seed_min,seed_max,seed_range
FULL_PRIMARY_REFERENCE,FULL_PRIMARY_REFERENCE,hdc_classification,classification,macro_f1,5,0.8223087334681487,0.0323253208135219,0.765500048062662,0.8448807936762751,0.07938074561361308
FULL_PRIMARY_REFERENCE,FULL_PRIMARY_REFERENCE,hdc_regression,regression,bounded_mae,5,0.2763899537759564,0.006418910750530134,0.2680685764716566,0.2820949113243607,0.014026334852704103
LEAVE_ONE_SUBJECT_OUT,LOSO,hdc_classification,classification,macro_f1,5,0.8274719558914267,0.006831135043638054,0.8164859846618412,0.8335006013253853,0.01701461666354409
LEAVE_ONE_SUBJECT_OUT,LOSO,hdc_regression,regression,bounded_mae,5,0.2642726475417661,0.007571691898028927,0.2543476281622912,0.271526761097852,0.017179132935560837
RETRAIN_WITHOUT_MODALITY,MISSING_BODY_MOVEMENT,hdc_classification,classification,macro_f1,5,0.8276866580035327,0.016320963777035853,0.80586203411368,0.8516315111903346,0.045769477076654685
RETRAIN_WITHOUT_MODALITY,MISSING_BODY_MOVEMENT,hdc_regression,regression,bounded_mae,5,0.2763892291169451,0.006417926579494174,0.2680682241050119,0.2820963057279236,0.014028081622911692
RETRAIN_WITHOUT_MODALITY,MISSING_EYE_TRACKING,hdc_classification,classification,macro_f1,5,0.8240401767796536,0.004889703693018807,0.8200500248214764,0.8325322801811348,0.012482255359658412
RETRAIN_WITHOUT_MODALITY,MISSING_EYE_TRACKING,hdc_regression,regression,bounded_mae,5,0.2712412580429594,0.002776665184515259,0.26877640334128877,0.27594001551312647,0.007163612171837697
RETRAIN_WITHOUT_MODALITY,MISSING_FLIGHT_PARAMETER,hdc_classification,classification,macro_f1,5,0.365404563464109,0.017902558541969843,0.35285862657557726,0.39335998756546214,0.04050136098988488
RETRAIN_WITHOUT_MODALITY,MISSING_FLIGHT_PARAMETER,hdc_regression,regression,bounded_mae,5,0.8716005325536994,0.015886714346215698,0.8532316451073986,0.8904490112171839,0.03721736610978532
RETRAIN_WITHOUT_MODALITY,MISSING_HEAD_MOVEMENT,hdc_classification,classification,macro_f1,5,0.8403939388279656,0.00554625711028955,0.8352193770589997,0.847596881912517,0.012377504853517296
RETRAIN_WITHOUT_MODALITY,MISSING_HEAD_MOVEMENT,hdc_regression,regression,bounded_mae,5,0.2742969175178998,0.007311212990078912,0.26654791455847254,0.2849024990453461,0.01835458448687355
RETRAIN_WITHOUT_MODALITY,MISSING_PHYSIOLOGICAL,hdc_classification,classification,macro_f1,5,0.822547127611666,0.01309685970796276,0.8051796580701247,0.8394878131774755,0.034308155107350746
RETRAIN_WITHOUT_MODALITY,MISSING_PHYSIOLOGICAL,hdc_regression,regression,bounded_mae,5,0.2763892291169451,0.006417926579494174,0.2680682241050119,0.2820963057279236,0.014028081622911692
