variant,dimension,seeds,macro_f1_mean,macro_f1_sd_sample,total_runtime_seconds_mean,peak_memory_complete,pareto_seed_config_count,final_selection_status,mae_bounded_mean,mae_bounded_sd_sample,common_ridge_reference,regression_estimand
hybrid,1000,"42,43,44,45,46",0.8064586019534176,0.012880127451261679,4.336060780019034,False,1,MODEL_SELECTION_BLOCKED,0.5770832172348334,0.017783891304365255,See phase06_hdc_regression_head_comparison.csv; not duplicated per variant,bounded difficulty-induced workload proxy regression
hybrid,2000,"42,43,44,45,46",0.8124869108643556,0.011279264096438963,4.659171500027878,False,1,MODEL_SELECTION_BLOCKED,0.5680221755208297,0.004034450637541417,See phase06_hdc_regression_head_comparison.csv; not duplicated per variant,bounded difficulty-induced workload proxy regression
hybrid,5000,"42,43,44,45,46",0.8223087334681487,0.0323253208135219,5.428569580044131,False,2,MODEL_SELECTION_BLOCKED,0.5730720941321645,0.011365134210775901,See phase06_hdc_regression_head_comparison.csv; not duplicated per variant,bounded difficulty-induced workload proxy regression
hybrid,10000,"42,43,44,45,46",0.8284327102002415,0.019115923901241467,6.812270360044204,False,1,MODEL_SELECTION_BLOCKED,0.5661711725928555,0.015503758479258159,See phase06_hdc_regression_head_comparison.csv; not duplicated per variant,bounded difficulty-induced workload proxy regression
multicentroid,1000,"42,43,44,45,46",0.7843931068865702,0.022980058446550624,4.048979879968101,False,1,MODEL_SELECTION_BLOCKED,0.7191225466619521,0.011304393155024002,See phase06_hdc_regression_head_comparison.csv; not duplicated per variant,bounded difficulty-induced workload proxy regression
multicentroid,2000,"42,43,44,45,46",0.7916792674526292,0.00393851340068606,4.394966639962513,False,0,MODEL_SELECTION_BLOCKED,0.7197886064900162,0.011461743773097837,See phase06_hdc_regression_head_comparison.csv; not duplicated per variant,bounded difficulty-induced workload proxy regression
multicentroid,5000,"42,43,44,45,46",0.7962769383177346,0.009436303158162788,5.227587999968091,False,0,MODEL_SELECTION_BLOCKED,0.7219739620413698,0.009727616999907122,See phase06_hdc_regression_head_comparison.csv; not duplicated per variant,bounded difficulty-induced workload proxy regression
multicentroid,10000,"42,43,44,45,46",0.7982567548013476,0.014684562567273815,6.623248539987253,False,0,MODEL_SELECTION_BLOCKED,0.7217357788867146,0.004571486504753312,See phase06_hdc_regression_head_comparison.csv; not duplicated per variant,bounded difficulty-induced workload proxy regression
onlinehd,1000,"42,43,44,45,46",0.639764510756671,0.06124245577177715,3.813642659998731,False,0,MODEL_SELECTION_BLOCKED,0.43536322603309185,0.02847818449787512,See phase06_hdc_regression_head_comparison.csv; not duplicated per variant,bounded difficulty-induced workload proxy regression
onlinehd,2000,"42,43,44,45,46",0.6555889070219212,0.03102268506432361,3.8395531799935263,False,0,MODEL_SELECTION_BLOCKED,0.4496304633584445,0.044607484453399945,See phase06_hdc_regression_head_comparison.csv; not duplicated per variant,bounded difficulty-induced workload proxy regression
onlinehd,5000,"42,43,44,45,46",0.6963124890346866,0.06166312879495085,3.9044511999993112,False,0,MODEL_SELECTION_BLOCKED,0.38974220886988553,0.024898511232734358,See phase06_hdc_regression_head_comparison.csv; not duplicated per variant,bounded difficulty-induced workload proxy regression
onlinehd,10000,"42,43,44,45,46",0.6719716188387206,0.046381116233110496,3.9948583000164946,False,0,MODEL_SELECTION_BLOCKED,0.4578339566785954,0.027620289752371324,See phase06_hdc_regression_head_comparison.csv; not duplicated per variant,bounded difficulty-induced workload proxy regression
vanilla,1000,"42,43,44,45,46",0.7568852136748837,0.023091755688514532,3.640072105002036,True,3,MODEL_SELECTION_BLOCKED,0.7022786559766689,0.010967548590613148,See phase06_hdc_regression_head_comparison.csv; not duplicated per variant,bounded difficulty-induced workload proxy regression
vanilla,2000,"42,43,44,45,46",0.7742097349496994,0.01674704816570431,3.6719662250259715,True,1,MODEL_SELECTION_BLOCKED,0.6999296967604152,0.008130606213569822,See phase06_hdc_regression_head_comparison.csv; not duplicated per variant,bounded difficulty-induced workload proxy regression
vanilla,5000,"42,43,44,45,46",0.7797642795463223,0.011621972585294089,3.8089574450023056,True,2,MODEL_SELECTION_BLOCKED,0.7007127292774827,0.009599808033267042,See phase06_hdc_regression_head_comparison.csv; not duplicated per variant,bounded difficulty-induced workload proxy regression
vanilla,10000,"42,43,44,45,46",0.7710611339013778,0.005569866250664318,3.964492924995284,True,0,MODEL_SELECTION_BLOCKED,0.7014883381484773,0.0037524530660137073,See phase06_hdc_regression_head_comparison.csv; not duplicated per variant,bounded difficulty-induced workload proxy regression
