comparison_family,model_family,task,metric,metric_direction,left_condition,right_condition,n_subjects,left_mean,right_mean,right_minus_left,wilcoxon_statistic,p_value,rank_biserial_right_minus_left,bootstrap_ci_low,bootstrap_ci_high,p_holm,significant_holm_0_05
A_EARLY_FUSION,HDC,classification,macro_f1,higher_is_better,FUSION_PE,FUSION_PEH,35,0.292299248370677,0.3445761381475667,0.05227688977688976,136.0,0.02817701136695147,0.45161290322580644,0.011433236406450687,0.09414892746142745,0.08453103410085441,False
A_EARLY_FUSION,TRADITIONAL,classification,macro_f1,higher_is_better,FUSION_PE,FUSION_PEH,35,0.3781348017062303,0.3926901273329845,0.014555325626754196,218.0,0.3897056839844817,0.1693548387096774,-0.027152802554588282,0.05692335244120956,0.6346210157258283,False
A_EARLY_FUSION,HDC,classification,macro_f1,higher_is_better,FUSION_PEH,FUSION_PEHF,35,0.3445761381475667,0.8516996099138956,0.507123471766329,0.0,3.651044914906338e-07,1.0,0.4303582023135595,0.580674234495663,1.4604179659625353e-06,True
A_EARLY_FUSION,TRADITIONAL,classification,macro_f1,higher_is_better,FUSION_PEH,FUSION_PEHF,35,0.3926901273329845,0.9370181405895692,0.5443280132565848,0.0,5.820766091346741e-11,1.0,0.494350740529312,0.5947338564213565,1.7462298274040222e-10,True
A_EARLY_FUSION,HDC,classification,macro_f1,higher_is_better,BEST_SINGLE_FLIGHT_REFERENCE,FUSION_PEHF,35,0.8529251700680271,0.8516996099138956,-0.0012255601541315815,59.5,0.9772942482872162,0.008333333333333333,-0.01905198670377241,0.018464193544550693,1.0,False
A_EARLY_FUSION,HDC,classification,macro_f1,higher_is_better,FULL_PRIMARY_REFERENCE,FUSION_PEHF,35,0.8616512059369201,0.8516996099138956,-0.0099515960230246,21.0,0.8588323362422003,-0.06666666666666667,-0.03265538330716904,0.008296703296703296,1.0,False
A_EARLY_FUSION,TRADITIONAL,classification,macro_f1,higher_is_better,FULL_PRIMARY_REFERENCE,FUSION_PEHF,35,0.9346371882086169,0.9370181405895692,0.002380952380952379,0.0,0.31731050786291415,1.0,0.0,0.0071428571428571366,0.6346210157258283,False
B_PERFORMANCE_SHORTCUT,HDC,classification,macro_f1,higher_is_better,WITHOUT_PERFORMANCE_PRIMARY_REFERENCE,WITH_PERFORMANCE_AUXILIARY,35,0.8616512059369201,0.8287708719851576,-0.03288033395176252,36.5,0.058252952125112764,-0.5228758169934641,-0.06675660946196658,-0.0019075061842919018,0.058252952125112764,False
B_PERFORMANCE_SHORTCUT,TRADITIONAL,classification,macro_f1,higher_is_better,WITHOUT_PERFORMANCE_PRIMARY_REFERENCE,WITH_PERFORMANCE_AUXILIARY,35,0.9346371882086169,0.9397392290249432,0.005102040816326532,5.5,0.2877873901541501,0.47619047619047616,-0.007008503401360541,0.017482993197278914,0.2877873901541501,False
B_PERFORMANCE_SHORTCUT,HDC,classification,macro_f1,higher_is_better,WITHOUT_PERFORMANCE_PRIMARY_REFERENCE,PERFORMANCE_ONLY_AUXILIARY,35,0.8616512059369201,0.5233060193774479,-0.3383451865594723,1.0,1.1641532182693481e-10,-0.9968253968253968,-0.3976951144094002,-0.2813144841269843,2.3283064365386963e-10,True
