phase,path,sha256,code_cells,executed_code_cells,error_outputs
03,E:\hdc-vr-pilot\experiments\phase_03_multimodal_dataset_labeling\Phase_03_Dataset_and_Folds.ipynb,d66055eda0fd63cb0a4b797086583f9f969bba7005eed778a9f5872b617c3ac3,25,25,0
04A,E:\hdc-vr-pilot\experiments\phase_04a_traditional_classification_baselines\Phase_04A_Classification_Baselines.executed.ipynb,5c9762ee06505e5d633e8fd1fbe25266aee892ae2d50d66b96f277f92902f2a9,14,0,0
04A,E:\hdc-vr-pilot\experiments\phase_04a_traditional_classification_baselines\Phase_04A_Classification_Baselines.ipynb,bb05f2a22c912a04b9eb8de263f4808012890c8d71890eba303817a73a15d796,34,14,0
04A,E:\hdc-vr-pilot\experiments\phase_04a_traditional_classification_baselines\Phase_04A_Classification_Baselines.pre_execution_backup.ipynb,1ff6d4f711b0082a7922ada38eabea9318d72dbaed6fe2e06d0f85d3e3f16cfa,14,0,0
04B,E:\hdc-vr-pilot\experiments\phase_04b_traditional_regression_baselines\Phase_04B_Regression_Baselines.ipynb,90eb201f64afe97ef546ae8bc532a84af0e9b6f4da2878f156388748122371a3,24,20,0
05,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\Phase_05_Basic_Dual_Output_HDC.ipynb,52f91d1f5bdd3f8ae9770735422c096318c39e07e1529adab842c266d8525383,27,27,0
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\Phase_06_HDC_Variant_Screening.ipynb,4bd47cb4a3cabf100a071e37ac7a783680b63cd611a600264dc07d47928f5ec1,13,13,0
07,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\Phase_07_Unimodal_Contribution.ipynb,7a9b3491ce68dd9ead239b32e38368a03a6d3dc0182dedee9a93218652c43aa8,37,37,0
08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\Phase_08_Fusion_and_Shortcut_Analysis.ipynb,5dbca7593ded363e2438320ff947d1595d8849f5510b602d86a558b0755a741f,25,25,0
09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\Phase_09_Robustness_and_Generalization.ipynb,c1cdd2236a3601c9ffd6c592c7c3513eb0c8df64863cf5b54763d9d42628bc1b,38,38,0
10,E:\hdc-vr-pilot\experiments\phase_10_final_synthesis_and_demo_ui\Phase_10_Final_Synthesis_and_Demo_UI.ipynb,df61d41478630144a2f0310581f3ccbd7dbdcb06adfb4874500a3fbf11c70007,34,34,0
