phase,path,sha256,execution_policy
00,E:\hdc-vr-pilot\experiments\phase_00_project_setup\scripts\create_phase00_notebook.py,6b4626f943c76b8e23d6f1f89226c5c8c08a0477cb29d4cc9a982d8f2d8707a1,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
00,E:\hdc-vr-pilot\experiments\phase_00_project_setup\scripts\create_revised_phase00_notebook.py,64d2c385a42a203e06b33e532d7f6719e114c468098f27d343eff4b2555476f1,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
01,E:\hdc-vr-pilot\experiments\phase_01_raw_data_modality_audit\scripts\create_phase01_notebook.py,d134dd278785b4421b3d7dd52d0aaa713b7984b04ed40d7880f0ebf7da27e40b,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
01,E:\hdc-vr-pilot\experiments\phase_01_raw_data_modality_audit\scripts\phase01_audit.py,dcc505fe86bcd39b8d3afb0986e13bbaf0aac8a9129a22049facb328d11a1a67,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
01,E:\hdc-vr-pilot\experiments\phase_01_raw_data_modality_audit\scripts\verify_phase01_audit.py,a472f4298c4e24aaa111095e44fce64ab757d12e937774fb70b8cf19e9e6a24b,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
02,E:\hdc-vr-pilot\experiments\phase_02_full_multimodal_feature_extraction\scripts\create_phase02_feature_verification_notebook.py,e199a3acef774ddc7df08375977f9e6769f412ed651f8eb498c43b44cd54eac7,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
02,E:\hdc-vr-pilot\experiments\phase_02_full_multimodal_feature_extraction\scripts\execute_phase02_feature_verification_notebook.py,2704dce6c6a1557badb6582d2ba393065623665dc16eaed465a1786d1428f99d,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
02,E:\hdc-vr-pilot\experiments\phase_02_full_multimodal_feature_extraction\scripts\phase02_extract.py,155cef95cd7071de6168c09b8e1027631eb57387e0b3275eea3ab091c2268210,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
05,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\scripts\complete_phase05_no_retraining.py,ead572adf88f32f39b3cb43a3c1fe80264f5975720de23a2ee0d63104643396f,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
05,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\scripts\consolidate_vanilla_hdc_quick_screen.py,cdd50b143ac2b809b9ff273c8b4e2a9829f0f624e15ff19be31b2e3015a6c105,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
05,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\scripts\finalize_phase05_no_retraining_amendment.py,0f70f47400b46335d907b430356f64862a9f4d0c22c0f12fb0d515bc914a0c40,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
05,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\scripts\finalize_phase05_oof.py,63b05ed380128376dc595028d52f2dd00523194d4577f8ba178fe75fadfc1bb8,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
05,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\scripts\freeze_phase05.py,219fbdb5fd0fb3aafcf1c3f8f1f3ca1b64ab6ed565521b7bea24149b845ba07a,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
05,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\scripts\persist_phase05_final_notebook.py,ed8397da7200ab70a8a5028c22dd5a83cdcffbf53f0504d7feea42ed15df6f15,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
05,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\scripts\persist_phase05_no_retraining_notebook.py,179b02b1263dcad0b86688b46dc680cad1be751cfe161c2801ab729921fb73cb,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
05,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\scripts\run_vanilla_hdc_final_confirmation.py,1bcda06ffea9d1c1361c686e2840554091abe16b8810bdb4f7f40e37ccdc6b4e,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
05,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\scripts\run_vanilla_hdc_quick_screen.py,1f1ab32915290e03335da8c29d997c135e52e3bb71f30204c427b8c7f81ac391,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\scripts\build_phase06_notebook.py,cc6a4adfc6043d1021ff45732ac57271094b408877eddd6cdf293bfe269a10d2,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\scripts\consolidate_phase06_quick_screen.py,55bd1153ad11d5b547b8a73c3ffbfd60b1631a0b16bbb49ba8d55e987cea6214,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\scripts\finalize_phase06.py,59502abd213dc740f7f63001d284ac83701304c8dce3eee33c0383e8b8ee6466,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
