phase,path,sha256,file_size
03,E:\hdc-vr-pilot\experiments\phase_03_multimodal_dataset_labeling\manifests\dataset_manifest.json,6f1c7442ab7b0a291df6ce445246e3ce8715c6eac1b0b63fd5795d768db25b7f,1807
03,E:\hdc-vr-pilot\experiments\phase_03_multimodal_dataset_labeling\manifests\feature_group_manifest.json,86a22464dc4725407d577db73649a5c4137482b1a5cc8836cbdffba842a8c456,66705
03,E:\hdc-vr-pilot\experiments\phase_03_multimodal_dataset_labeling\manifests\fold_manifest.json,c7f38b38799a3a5a60de87bd9c3c83e9be5a9b1a65e3cdf4bb0ba174a6c6bf50,836
03,E:\hdc-vr-pilot\experiments\phase_03_multimodal_dataset_labeling\manifests\performance_only_feature_manifest.json,80c216dd6ece3f553d9a297dbda62b0505f0fa646c1ba4352abe9af553cb8b81,8727
03,E:\hdc-vr-pilot\experiments\phase_03_multimodal_dataset_labeling\manifests\primary_feature_manifest.json,6808013449eb5bd6e278525ddc7c8231084a9b12a545170f387b669bde910995,123769
03,E:\hdc-vr-pilot\experiments\phase_03_multimodal_dataset_labeling\manifests\with_performance_feature_manifest.json,91cc99688b0b5dca74f6ebabfe1447548cab7f86a4919725f8eff80987a492b3,130442
04B,E:\hdc-vr-pilot\experiments\phase_04b_traditional_regression_baselines\manifests\phase04b_final_artifact_manifest.json,eb0edfdf4acefd2c28e86476fe58d76204ddf2951d45894841a966f1b9b8e8ae,16911
05,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\manifests\phase05_final_artifact_manifest.json,e4894aeaa56f4b9938e9582414286d493ec4da49543e6972985a13bedf8148d5,138327
05,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\manifests\phase05_input_manifest.json,1a2cef9d3cdf98538f8125420f2f4c84cb6d86915e0fb35aedc43ca70c89b130,1409
05,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\manifests\vanilla_hdc_final_confirmation_artifact_manifest.json,6d718237b54620642ba8e7a91227c762ecb328e3111387a04cd777a7e4c6d836,73492
05,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\manifests\vanilla_hdc_quick_screen_artifact_manifest.json,617cc38b05cbcc30d87992f837bb2ac75f7ea4a059ab37a8fd4d35b7e36db38c,7604
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\manifests\phase06_contract_manifest.json,17d96e4834945b66725d89d227259411d9a6d1b2fa32a764ed031128dd4555fb,2250
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\manifests\phase06_final_artifact_manifest.json,25df4d2754075061c4000c9260ad0b5b4182203f988375078e2f4156dcd580a5,33117
