phase,path,sha256,code_cells,executed_code_cells
00,E:\hdc-vr-pilot\experiments\phase_00_project_setup\notebooks\00_revised_project_setup_and_inventory.ipynb,2e7d16bf603d4a61641025eb78aa88bd6c33d204a2dddd1cca28f523af368137,8,8
01,E:\hdc-vr-pilot\experiments\phase_01_raw_data_modality_audit\notebooks\01_raw_data_modality_audit.ipynb,2fc8aa8c173c89341a96b3641938dc79807aa3d6cb4582b93d90a645ef1bc0fd,9,9
02,E:\hdc-vr-pilot\experiments\phase_02_full_multimodal_feature_extraction\notebooks\02_full_multimodal_feature_extraction.ipynb,965e6c09be6f984d65aacc979ed78cafbaaba1acee17143f252a8bff0a0c4448,4,4
02,E:\hdc-vr-pilot\experiments\phase_02_full_multimodal_feature_extraction\notebooks\Phase_02_Feature_Verification.ipynb,ddfd253e3e981fbe624d466c9466df7d481fce788e1925da6ef3ef600208c8a7,12,12
03,E:\hdc-vr-pilot\experiments\phase_03_multimodal_dataset_labeling\Phase_03_Dataset_and_Folds.ipynb,d66055eda0fd63cb0a4b797086583f9f969bba7005eed778a9f5872b617c3ac3,25,25
04A,E:\hdc-vr-pilot\experiments\phase_04a_traditional_classification_baselines\Phase_04A_Classification_Baselines.executed.ipynb,5c9762ee06505e5d633e8fd1fbe25266aee892ae2d50d66b96f277f92902f2a9,14,0
04A,E:\hdc-vr-pilot\experiments\phase_04a_traditional_classification_baselines\Phase_04A_Classification_Baselines.ipynb,bb05f2a22c912a04b9eb8de263f4808012890c8d71890eba303817a73a15d796,34,14
04B,E:\hdc-vr-pilot\experiments\phase_04b_traditional_regression_baselines\Phase_04B_Regression_Baselines.ipynb,90eb201f64afe97ef546ae8bc532a84af0e9b6f4da2878f156388748122371a3,24,20
05,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\Phase_05_Basic_Dual_Output_HDC.ipynb,52f91d1f5bdd3f8ae9770735422c096318c39e07e1529adab842c266d8525383,27,27
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\Phase_06_HDC_Variant_Screening.ipynb,4bd47cb4a3cabf100a071e37ac7a783680b63cd611a600264dc07d47928f5ec1,13,13
07,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\Phase_07_Unimodal_Contribution.ipynb,7a9b3491ce68dd9ead239b32e38368a03a6d3dc0182dedee9a93218652c43aa8,37,37
08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\Phase_08_Fusion_and_Shortcut_Analysis.ipynb,5dbca7593ded363e2438320ff947d1595d8849f5510b602d86a558b0755a741f,25,25
09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\Phase_09_Robustness_and_Generalization.ipynb,71e658786ccf07b9ac6ba13525942412d1cfcbb8e7b8ebba476df0de4cf4eaec,38,38
10,E:\hdc-vr-pilot\experiments\phase_10_final_synthesis_and_demo_ui\Phase_10_Final_Synthesis_and_Demo_UI.ipynb,47810b95767eb2f11767a786f0346daed81d04d285b7c191459be521096c83cb,24,24
