phase,path,sha256,file_size
03,E:\hdc-vr-pilot\experiments\phase_03_multimodal_dataset_labeling\reports\phase03_validation_summary.json,2f39a734bb627d4a505cd69aca997b947c0411ed6e4735177f07a641c35f0efa,1852
03,E:\hdc-vr-pilot\experiments\phase_03_multimodal_dataset_labeling\reports\phase03_verification_report.md,6e2d85d557b1be404a15be6674cf6c96bea46370b69190820d55641368495d6e,1374
04a,E:\hdc-vr-pilot\experiments\phase_04a_traditional_classification_baselines\reports\phase04a_final_summary.md,e8e25b27f9e7b601392f1262338dd405a5f9d90f94d3644f26b5e53bfd94bc7c,2590
04a,E:\hdc-vr-pilot\experiments\phase_04a_traditional_classification_baselines\reports\phase04a_validation_summary.json,13bdc32ffa449a8cc0ed3aa0b52c68c1bcbc44bce6e77767debf4832ce83cd74,4662
04b,E:\hdc-vr-pilot\experiments\phase_04b_traditional_regression_baselines\reports\phase04b_final_summary.md,2138d7f7f022c870a2f770d80a1af8710c3b245f6296178d8c1da73dd560776a,4088
05,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\reports\phase05_final_summary.md,2d8a8b33b3d0bf78db44920276040583feabd06fa690520af2df023a7b9798fd,8789
05,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\reports\phase05_hdc_contract_freeze_report.md,082c259a40a2a7f6da42c8ceea931a00c53a90ef3ccd274c157d5ae5b4752288,1088
05,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\reports\phase05_initialization_report.md,fc523846a050f2e4e930ee22e1008187633d9cfc7129a9d08c4b060a73a15238,964
05,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\reports\phase05_no_retraining_completion_report.md,70bfdc67973b4d3500cd33a00d42eb964dd4d5b57025f0fc85aee9d101cc6fb5,4375
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\reports\analysis-output\analysis-report.md,4e5209fadbe8779e6ef91ae584a8dffff024203a99009b54b8919d88dbe582f8,5960
