source_phase,source_path,source_sha256,source_row_number,frozen_row_json
04A,E:\hdc-vr-pilot\experiments\phase_04a_traditional_classification_baselines\results\summaries\phase04a_final_classifier_comparison.csv,27f331244a6e8fd18652b5c3aed4bd05d976f0662947e337cd591e27831c1084,2,"{""model"":""Gradient Boosting"",""model_slug"":""gradient_boosting"",""oof_macro_f1"":""0.9356075023489925"",""oof_balanced_accuracy"":""0.9356862084456424"",""oof_accuracy"":""0.9355608591885441"",""oof_weighted_f1"":""0.9356374078190549"",""recall_class_0"":""0.9423076923076923"",""recall_class_1"":""0.8867924528301887"",""recall_class_2"":""0.9326923076923077"",""recall_class_3"":""0.9809523809523809"",""fold_macro_f1_mean"":""0.9358879181084317"",""fold_macro_f1_std"":""0.018954063963423244""}"
04A,E:\hdc-vr-pilot\experiments\phase_04a_traditional_classification_baselines\results\summaries\phase04a_final_classifier_comparison.csv,27f331244a6e8fd18652b5c3aed4bd05d976f0662947e337cd591e27831c1084,3,"{""model"":""Random Forest"",""model_slug"":""random_forest"",""oof_macro_f1"":""0.930234437791108"",""oof_balanced_accuracy"":""0.9311277558919069"",""oof_accuracy"":""0.9307875894988067"",""oof_weighted_f1"":""0.9301800960072304"",""recall_class_0"":""0.9519230769230769"",""recall_class_1"":""0.8301886792452831"",""recall_class_2"":""0.9519230769230769"",""recall_class_3"":""0.9904761904761905"",""fold_macro_f1_mean"":""0.930476115044461"",""fold_macro_f1_std"":""0.03190047635468638""}"
04A,E:\hdc-vr-pilot\experiments\phase_04a_traditional_classification_baselines\results\summaries\phase04a_final_classifier_comparison.csv,27f331244a6e8fd18652b5c3aed4bd05d976f0662947e337cd591e27831c1084,4,"{""model"":""RBF SVM"",""model_slug"":""rbf_svm"",""oof_macro_f1"":""0.8873492392489528"",""oof_balanced_accuracy"":""0.8880865989356554"",""oof_accuracy"":""0.8878281622911695"",""oof_weighted_f1"":""0.8872663822532251"",""recall_class_0"":""0.9038461538461539"",""recall_class_1"":""0.8113207547169812"",""recall_class_2"":""0.9038461538461539"",""recall_class_3"":""0.9333333333333333"",""fold_macro_f1_mean"":""0.8882312881674164"",""fold_macro_f1_std"":""0.04365803945719203""}"
04A,E:\hdc-vr-pilot\experiments\phase_04a_traditional_classification_baselines\results\summaries\phase04a_final_classifier_comparison.csv,27f331244a6e8fd18652b5c3aed4bd05d976f0662947e337cd591e27831c1084,5,"{""model"":""Linear SVM"",""model_slug"":""linear_svm"",""oof_macro_f1"":""0.8573296104042126"",""oof_balanced_accuracy"":""0.8568828184394222"",""oof_accuracy"":""0.8568019093078759"",""oof_weighted_f1"":""0.8572536782977713"",""recall_class_0"":""0.8076923076923077"",""recall_class_1"":""0.8207547169811321"",""recall_class_2"":""0.9038461538461539"",""recall_class_3"":""0.8952380952380953"",""fold_macro_f1_mean"":""0.8581262803532048"",""fold_macro_f1_std"":""0.047317897989938254""}"
04A,E:\hdc-vr-pilot\experiments\phase_04a_traditional_classification_baselines\results\summaries\phase04a_final_classifier_comparison.csv,27f331244a6e8fd18652b5c3aed4bd05d976f0662947e337cd591e27831c1084,6,"{""model"":""Logistic Regression"",""model_slug"":""logistic_regression"",""oof_macro_f1"":""0.8424750347354124"",""oof_balanced_accuracy"":""0.8426411638675789"",""oof_accuracy"":""0.8424821002386634"",""oof_weighted_f1"":""0.8423171209240452"",""recall_class_0"":""0.7692307692307693"",""recall_class_1"":""0.7830188679245284"",""recall_class_2"":""0.9230769230769231"",""recall_class_3"":""0.8952380952380953"",""fold_macro_f1_mean"":""0.8429263628917691"",""fold_macro_f1_std"":""0.05461064558253733""}"
04A,E:\hdc-vr-pilot\experiments\phase_04a_traditional_classification_baselines\results\summaries\phase04a_final_classifier_comparison.csv,27f331244a6e8fd18652b5c3aed4bd05d976f0662947e337cd591e27831c1084,7,"{""model"":""KNN"",""model_slug"":""knn"",""oof_macro_f1"":""0.7532789211524841"",""oof_balanced_accuracy"":""0.7565096067454558"",""oof_accuracy"":""0.7565632458233891"",""oof_weighted_f1"":""0.7531949492598458"",""recall_class_0"":""0.6826923076923077"",""recall_class_1"":""0.6698113207547169"",""recall_class_2"":""0.7211538461538461"",""recall_class_3"":""0.9523809523809523"",""fold_macro_f1_mean"":""0.7527273678653539"",""fold_macro_f1_std"":""0.05180216086843364""}"
04B,E:\hdc-vr-pilot\experiments\phase_04b_traditional_regression_baselines\results\summaries\phase04b_final_regressor_comparison.csv,b8bb4e8b4323a2f5234ed3f4f4a5a84a831158c17ebb0be4b050e0b729f50f3c,2,"{""model"":""Gradient Boosting Regressor"",""model_slug"":""gradient_boosting"",""model_family"":""Tree ensemble"",""canonical_seed"":""42"",""oof_rows"":""419"",""oof_unique_run_keys"":""419"",""mae_raw"":""0.11306438938653676"",""mae_bounded"":""0.10748622346925181"",""rmse_bounded"":""0.2550837953674904"",""r2_bounded"":""0.947846168738032"",""rank_by_mae_bounded"":""1"",""difference_from_best_mae"":""0.0"",""spearman_bounded"":""0.9529838128466465"",""status"":""COMPLETE"",""leakage_audit"":""PASS"",""coverage_audit"":""PASS"",""artifact_audit"":""PASS"",""notebook_persistence"":""PASS""}"
04B,E:\hdc-vr-pilot\experiments\phase_04b_traditional_regression_baselines\results\summaries\phase04b_final_regressor_comparison.csv,b8bb4e8b4323a2f5234ed3f4f4a5a84a831158c17ebb0be4b050e0b729f50f3c,3,"{""model"":""Random Forest Regressor"",""model_slug"":""random_forest"",""model_family"":""Tree ensemble"",""canonical_seed"":""42"",""oof_rows"":""419"",""oof_unique_run_keys"":""419"",""mae_raw"":""0.14373508353221956"",""mae_bounded"":""0.14373508353221956"",""rmse_bounded"":""0.29507239918996686"",""r2_bounded"":""0.9302124980596442"",""rank_by_mae_bounded"":""2"",""difference_from_best_mae"":""0.03624886006296775"",""spearman_bounded"":""0.9444375073511405"",""status"":""COMPLETE"",""leakage_audit"":""PASS"",""coverage_audit"":""PASS"",""artifact_audit"":""PASS"",""notebook_persistence"":""PASS""}"
04B,E:\hdc-vr-pilot\experiments\phase_04b_traditional_regression_baselines\results\summaries\phase04b_final_regressor_comparison.csv,b8bb4e8b4323a2f5234ed3f4f4a5a84a831158c17ebb0be4b050e0b729f50f3c,4,"{""model"":""Elastic Net"",""model_slug"":""elastic_net"",""model_family"":""Linear regularized"",""canonical_seed"":""NOT_APPLICABLE"",""oof_rows"":""419"",""oof_unique_run_keys"":""419"",""mae_raw"":""0.37577256668807263"",""mae_bounded"":""0.2747300064787801"",""rmse_bounded"":""0.42723402089682117"",""r2_bounded"":""0.8536973696776151"",""rank_by_mae_bounded"":""3"",""difference_from_best_mae"":""0.1672437830095283"",""spearman_bounded"":""0.9147649428003137"",""status"":""COMPLETE"",""leakage_audit"":""PASS"",""coverage_audit"":""PASS"",""artifact_audit"":""PASS"",""notebook_persistence"":""PASS""}"
04B,E:\hdc-vr-pilot\experiments\phase_04b_traditional_regression_baselines\results\summaries\phase04b_final_regressor_comparison.csv,b8bb4e8b4323a2f5234ed3f4f4a5a84a831158c17ebb0be4b050e0b729f50f3c,5,"{""model"":""RBF SVR"",""model_slug"":""rbf_svr"",""model_family"":""Support vector"",""canonical_seed"":""NOT_APPLICABLE"",""oof_rows"":""419"",""oof_unique_run_keys"":""419"",""mae_raw"":""0.3436234805968089"",""mae_bounded"":""0.31085924739107956"",""rmse_bounded"":""0.4773068147090191"",""r2_bounded"":""0.8173937040407635"",""rank_by_mae_bounded"":""4"",""difference_from_best_mae"":""0.20337302392182777"",""spearman_bounded"":""0.9014207457906958"",""status"":""COMPLETE"",""leakage_audit"":""PASS"",""coverage_audit"":""PASS"",""artifact_audit"":""PASS"",""notebook_persistence"":""PASS""}"
