demo_id,fold,true_difficulty,predicted_difficulty,classification_correct,difficulty_1_cosine,difficulty_2_cosine,difficulty_3_cosine,difficulty_4_cosine,true_difficulty_score,raw_frozen_prediction,bounded_frozen_prediction,absolute_error
DEMO-0001,4,1,1,true,0.548492181301117,0.42692042589187623,0.4051732838153839,0.34097628593444823,1.0,0.7596298786910483,1.0,0
DEMO-0002,4,1,1,true,0.4997943937778473,0.46364220380783083,0.39545880556106566,0.31868128180503846,1.0,1.2017482420343455,1.2017482420343455,0.2017482420343455
DEMO-0003,4,1,1,true,0.5383665382862091,0.4286877453327179,0.39340675473213194,0.3241162836551666,1.0,0.9585754721740833,1.0,0
DEMO-0004,4,2,2,true,0.4043229341506958,0.5470134854316712,0.43437914848327636,0.2691194295883178,2.0,1.9677782811859696,1.9677782811859696,0.03222171881403035
DEMO-0005,4,2,2,true,0.40620550513267517,0.5462173104286194,0.4328366041183472,0.2762990742921829,2.0,2.1072476831920395,2.1072476831920395,0.1072476831920395
DEMO-0006,4,2,2,true,0.4133409082889557,0.5376386940479279,0.43884851932525637,0.27566523849964136,2.0,2.07395896603535,2.07395896603535,0.07395896603535013
DEMO-0007,4,3,3,true,0.3793699562549591,0.4495820581912994,0.5133542239665985,0.29906958937644956,3.0,2.86367536264778,2.86367536264778,0.13632463735222
DEMO-0008,4,3,3,true,0.3692151248455048,0.44977405071258547,0.5309657096862793,0.33509481549263,3.0,3.1739592196475073,3.1739592196475073,0.1739592196475073
DEMO-0009,4,3,3,true,0.36432023644447326,0.4423125207424164,0.5290876269340515,0.3419931769371033,3.0,3.064708767211599,3.064708767211599,0.06470876721159913
DEMO-0010,4,4,4,true,0.3851694822311401,0.3393188595771789,0.42888068556785586,0.5802317380905151,4.0,3.970353175309948,3.970353175309948,0.02964682469005187
DEMO-0011,4,4,4,true,0.37160537838935853,0.34801521301269533,0.4264431059360504,0.5929583668708801,4.0,4.037832107544183,4.0,0
DEMO-0012,4,4,4,true,0.38102005124092103,0.3528347313404083,0.4229496717453003,0.5802040815353393,4.0,3.826622784676952,3.826622784676952,0.1733772153230482
DEMO-0013,1,1,1,true,0.9017184138298034,0.8780478835105896,0.8308403134346009,0.7399750471115112,1.0,1.028086062889074,1.028086062889074,0.028086062889074
DEMO-0014,1,1,1,true,0.9058497309684753,0.8867736697196961,0.8478888630867004,0.8093667507171631,1.0,1.0548638250320235,1.0548638250320235,0.05486382503202347
DEMO-0015,1,1,1,true,0.9066823244094848,0.8789510607719422,0.8311880111694336,0.7379834771156311,1.0,1.0959460190892172,1.0959460190892172,0.09594601908921718
DEMO-0016,1,2,2,true,0.8634231805801391,0.8965160250663757,0.8864134430885315,0.8156245112419128,2.0,2.0428670398958757,2.0428670398958757,0.0428670398958757
DEMO-0017,1,2,2,true,0.883348548412323,0.8995346069335938,0.8459730744361877,0.735563313961029,2.0,1.8954476028660714,1.8954476028660714,0.1045523971339286
DEMO-0018,1,2,2,true,0.881662392616272,0.90904461145401,0.9012869000434875,0.785257887840271,2.0,2.0989139598504125,2.0989139598504125,0.09891395985041251
DEMO-0019,1,3,3,true,0.85488520860672,0.8763414263725281,0.9232686638832093,0.7984973192214966,3.0,2.9292782360482885,2.9292782360482885,0.07072176395171148
DEMO-0020,1,3,3,true,0.8309103488922119,0.855454957485199,0.8846736311912536,0.8180798888206482,3.0,3.1049143324507127,3.1049143324507127,0.1049143324507127
DEMO-0021,1,3,3,true,0.8644097924232483,0.8945769190788269,0.9385147333145142,0.7952975392341614,3.0,2.9852205754285626,2.9852205754285626,0.01477942457143744
DEMO-0022,1,4,4,true,0.8332882881164551,0.8220074295997619,0.8499458193778991,0.8970837950706482,4.0,4.193192408416822,4.0,0
DEMO-0023,1,4,4,true,0.8353221774101257,0.8156711220741272,0.8458608508110046,0.9027113318443298,4.0,3.9464613977635823,3.9464613977635823,0.05353860223641771
DEMO-0024,1,4,4,true,0.8463507890701294,0.8320586562156678,0.8592209219932556,0.8974545717239379,4.0,3.705513844187771,3.705513844187771,0.2944861558122289
DEMO-0025,5,1,1,true,0.8831299781799317,0.8583204269409179,0.8313327908515931,0.7838603377342224,1.0,1.3910558744299606,1.3910558744299606,0.3910558744299606
DEMO-0026,5,1,2,false,0.9040654420852661,0.9127287030220032,0.8612449884414672,0.7915256142616272,1.0,1.6871351411113698,1.6871351411113698,0.6871351411113698
DEMO-0027,5,1,1,true,0.9111276626586914,0.9043785095214844,0.8468394160270691,0.781420624256134,1.0,1.167898077065702,1.167898077065702,0.1678980770657019
DEMO-0028,5,2,3,false,0.8075095653533936,0.8325013875961303,0.8402302026748657,0.8017289280891419,2.0,2.4461778956808344,2.4461778956808344,0.4461778956808344
DEMO-0029,5,2,2,true,0.8690503835678101,0.928396213054657,0.8963793635368347,0.7850564599037171,2.0,2.1489851812438223,2.1489851812438223,0.1489851812438223
DEMO-0030,5,2,2,true,0.8859601855278015,0.9129974365234375,0.873525071144104,0.8088015437126159,2.0,1.9877213623101624,1.9877213623101624,0.01227863768983761
DEMO-0031,5,3,4,false,0.7668355226516723,0.7783535122871399,0.7869061470031739,0.808443009853363,3.0,3.0716525803618113,3.0716525803618113,0.07165258036181132
DEMO-0032,5,3,3,true,0.8263252377510071,0.8763048052787781,0.8891433835029602,0.8080195784568787,3.0,3.4509787322493337,3.4509787322493337,0.4509787322493337
DEMO-0033,5,3,3,true,0.8516035079956055,0.8747804164886475,0.8987111330032349,0.849095618724823,3.0,3.1131250235976853,3.1131250235976853,0.1131250235976853
